,L,counts,cps,cps_per_nA
0,125.0,122.0,203.33333333333334,2.033333333333333
1,125.02,112.0,186.66666666666669,1.866666666666667
2,125.04,127.0,211.66666666666669,2.1166666666666667
3,125.06,121.0,201.66666666666669,2.016666666666667
4,125.08,121.0,201.66666666666669,2.016666666666667
5,125.1,117.0,195.0,1.95
6,125.12,128.0,213.33333333333334,2.1333333333333333
7,125.14,113.0,188.33333333333334,1.8833333333333335
8,125.16,144.0,240.0,2.4
9,125.18,121.0,201.66666666666669,2.016666666666667
10,125.2,135.0,225.0,2.25
11,125.22,133.0,221.66666666666669,2.216666666666667
12,125.24,129.0,215.0,2.15
13,125.26,132.0,220.0,2.2
14,125.28,138.0,230.0,2.3
15,125.3,149.0,248.33333333333334,2.4833333333333334
16,125.32,117.0,195.0,1.95
17,125.34,112.0,186.66666666666669,1.866666666666667
18,125.36,126.0,210.0,2.1
19,125.38,130.0,216.66666666666669,2.166666666666667
20,125.4,120.0,200.0,2.0
21,125.42,124.0,206.66666666666669,2.066666666666667
22,125.44,124.0,206.66666666666669,2.066666666666667
23,125.46,117.0,195.0,1.95
24,125.48,133.0,221.66666666666669,2.216666666666667
25,125.5,128.0,213.33333333333334,2.1333333333333333
26,125.52,142.0,236.66666666666669,2.3666666666666667
27,125.54,147.0,245.0,2.45
28,125.56,143.0,238.33333333333334,2.3833333333333333
29,125.58,133.0,221.66666666666669,2.216666666666667
30,125.6,120.0,200.0,2.0
31,125.62,125.0,208.33333333333334,2.0833333333333335
32,125.64,138.0,230.0,2.3
33,125.66,139.0,231.66666666666669,2.316666666666667
34,125.68,136.0,226.66666666666669,2.266666666666667
35,125.7,140.0,233.33333333333334,2.3333333333333335
36,125.72,112.0,186.66666666666669,1.866666666666667
37,125.74,117.0,195.0,1.95
38,125.76,124.0,206.66666666666669,2.066666666666667
39,125.78,145.0,241.66666666666669,2.416666666666667
40,125.8,126.0,210.0,2.1
41,125.82,141.0,235.0,2.35
42,125.84,117.0,195.0,1.95
43,125.86,116.0,193.33333333333334,1.9333333333333333
44,125.88,105.0,175.0,1.75
45,125.9,125.0,208.33333333333334,2.0833333333333335
46,125.92,123.0,205.0,2.05
47,125.94,120.0,200.0,2.0
