,L,counts,cps,cps_per_nA
0,125.0,70.0,116.66666666666667,1.1655011655011656
1,125.02,76.0,126.66666666666667,1.2654012654012654
2,125.04,88.0,146.66666666666669,1.4652014652014653
3,125.06,75.0,125.0,1.2487512487512487
4,125.08,85.0,141.66666666666669,1.4152514152514153
5,125.1,88.0,146.66666666666669,1.4652014652014653
6,125.12,70.0,116.66666666666667,1.1655011655011656
7,125.14,78.0,130.0,1.2987012987012987
8,125.16,87.0,145.0,1.4485514485514484
9,125.18,82.0,136.66666666666669,1.3653013653013655
10,125.2,71.0,118.33333333333334,1.182151182151182
11,125.22,76.0,126.66666666666667,1.2654012654012654
12,125.24,74.0,123.33333333333334,1.2321012321012321
13,125.26,86.0,143.33333333333334,1.4319014319014318
14,125.28,83.0,138.33333333333334,1.381951381951382
15,125.3,73.0,121.66666666666667,1.2154512154512154
16,125.32,84.0,140.0,1.3986013986013985
17,125.34,76.0,126.66666666666667,1.2654012654012654
18,125.36,72.0,120.0,1.1988011988011986
19,125.38,87.0,145.0,1.4485514485514484
20,125.4,82.0,136.66666666666669,1.3653013653013655
21,125.42,80.0,133.33333333333334,1.332001332001332
22,125.44,75.0,125.0,1.2487512487512487
23,125.46,71.0,118.33333333333334,1.182151182151182
24,125.48,82.0,136.66666666666669,1.3653013653013655
25,125.5,75.0,125.0,1.2487512487512487
26,125.52,84.0,140.0,1.3986013986013985
27,125.54,76.0,126.66666666666667,1.2654012654012654
28,125.56,74.0,123.33333333333334,1.2321012321012321
29,125.58,75.0,125.0,1.2487512487512487
30,125.6,82.0,136.66666666666669,1.3653013653013655
31,125.62,76.0,126.66666666666667,1.2654012654012654
32,125.64,76.0,126.66666666666667,1.2654012654012654
33,125.66,82.0,136.66666666666669,1.3653013653013655
34,125.68,90.0,150.0,1.4985014985014984
35,125.7,83.0,138.33333333333334,1.381951381951382
36,125.72,82.0,136.66666666666669,1.3653013653013655
37,125.74,87.0,145.0,1.4485514485514484
38,125.76,78.0,130.0,1.2987012987012987
39,125.78,71.0,118.33333333333334,1.182151182151182
40,125.8,67.0,111.66666666666667,1.1155511155511155
41,125.82,76.0,126.66666666666667,1.2654012654012654
42,125.84,68.0,113.33333333333334,1.1322011322011323
43,125.86,71.0,118.33333333333334,1.182151182151182
44,125.88,77.0,128.33333333333334,1.282051282051282
45,125.9,75.0,125.0,1.2487512487512487
46,125.92,87.0,145.0,1.4485514485514484
47,125.94,78.0,130.0,1.2987012987012987
48,125.96,73.0,121.66666666666667,1.2154512154512154
49,125.98,78.0,130.0,1.2987012987012987
50,126.0,75.0,125.0,1.2487512487512487
51,126.02,77.0,128.33333333333334,1.282051282051282
52,126.04,83.0,138.33333333333334,1.381951381951382
53,126.06,85.0,141.66666666666669,1.4152514152514153
54,126.08,96.0,160.0,1.5984015984015982
55,126.1,61.0,101.66666666666667,1.0156510156510157
56,126.12,87.0,145.0,1.4485514485514484
57,126.14,89.0,148.33333333333334,1.4818514818514819
58,126.16,73.0,121.66666666666667,1.2154512154512154
59,126.18,87.0,145.0,1.4485514485514484
60,126.2,79.0,131.66666666666669,1.3153513153513154
61,126.22,76.0,126.66666666666667,1.2654012654012654
62,126.24,92.0,153.33333333333334,1.5318015318015317
63,126.26,64.0,106.66666666666667,1.0656010656010655
64,126.28,70.0,116.66666666666667,1.1655011655011656
65,126.3,76.0,126.66666666666667,1.2654012654012654
66,126.32,76.0,126.66666666666667,1.2654012654012654
67,126.34,80.0,133.33333333333334,1.332001332001332
68,126.36,83.0,138.33333333333334,1.381951381951382
69,126.38,69.0,115.0,1.1488511488511488
70,126.4,67.0,111.66666666666667,1.1155511155511155
71,126.42,70.0,116.66666666666667,1.1655011655011656
72,126.44,62.0,103.33333333333334,1.0323010323010322
73,126.46,86.0,143.33333333333334,1.4319014319014318
74,126.48,81.0,135.0,1.3486513486513485
75,126.5,63.0,105.0,1.048951048951049
76,126.52,55.0,91.66666666666667,0.9157509157509157
77,126.54,74.0,123.33333333333334,1.2321012321012321
78,126.56,78.0,130.0,1.2987012987012987
79,126.58,90.0,150.0,1.4985014985014984
80,126.6,79.0,131.66666666666669,1.3153513153513154
81,126.62,73.0,121.66666666666667,1.2154512154512154
82,126.64,69.0,115.0,1.1488511488511488
83,126.66,87.0,145.0,1.4485514485514484
84,126.68,80.0,133.33333333333334,1.332001332001332
85,126.7,77.0,128.33333333333334,1.282051282051282
86,126.72,83.0,138.33333333333334,1.381951381951382
87,126.74,91.0,151.66666666666669,1.5151515151515151
88,126.76,71.0,118.33333333333334,1.182151182151182
89,126.78,78.0,130.0,1.2987012987012987
90,126.8,72.0,120.0,1.1988011988011986
91,126.82,82.0,136.66666666666669,1.3653013653013655
92,126.84,76.0,126.66666666666667,1.2654012654012654
93,126.86,102.0,170.0,1.698301698301698
94,126.88,80.0,133.33333333333334,1.332001332001332
95,126.9,87.0,145.0,1.4485514485514484
96,126.92,80.0,133.33333333333334,1.332001332001332
97,126.94,100.0,166.66666666666669,1.665001665001665
98,126.96,75.0,125.0,1.2487512487512487
99,126.98,83.0,138.33333333333334,1.381951381951382
100,127.0,73.0,121.66666666666667,1.2154512154512154
101,127.02,89.0,148.33333333333334,1.4818514818514819
102,127.04,76.0,126.66666666666667,1.2654012654012654
103,127.06,75.0,125.0,1.2487512487512487
104,127.08,78.0,130.0,1.2987012987012987
105,127.1,73.0,121.66666666666667,1.2154512154512154
106,127.12,90.0,150.0,1.4985014985014984
107,127.14,77.0,128.33333333333334,1.282051282051282
108,127.16,61.0,101.66666666666667,1.0156510156510157
109,127.18,81.0,135.0,1.3486513486513485
110,127.2,76.0,126.66666666666667,1.2654012654012654
111,127.22,71.0,118.33333333333334,1.182151182151182
112,127.24,72.0,120.0,1.1988011988011986
113,127.26,93.0,155.0,1.5484515484515484
114,127.28,75.0,125.0,1.2487512487512487
115,127.3,73.0,121.66666666666667,1.2154512154512154
116,127.32,65.0,108.33333333333334,1.0822510822510822
117,127.34,87.0,145.0,1.4485514485514484
118,127.36,83.0,138.33333333333334,1.381951381951382
119,127.38,71.0,118.33333333333334,1.182151182151182
120,127.4,70.0,116.66666666666667,1.1655011655011656
121,127.42,73.0,121.66666666666667,1.2154512154512154
122,127.44,90.0,150.0,1.4985014985014984
123,127.46,78.0,130.0,1.2987012987012987
124,127.48,62.0,103.33333333333334,1.0323010323010322
125,127.5,81.0,135.0,1.3486513486513485
126,127.52,83.0,138.33333333333334,1.381951381951382
127,127.54,63.0,105.0,1.048951048951049
128,127.56,80.0,133.33333333333334,1.332001332001332
129,127.58,71.0,118.33333333333334,1.182151182151182
130,127.6,71.0,118.33333333333334,1.182151182151182
131,127.62,82.0,136.66666666666669,1.3653013653013655
132,127.64,65.0,108.33333333333334,1.0822510822510822
133,127.66,75.0,125.0,1.2487512487512487
134,127.68,63.0,105.0,1.048951048951049
135,127.7,83.0,138.33333333333334,1.381951381951382
136,127.72,85.0,141.66666666666669,1.4152514152514153
137,127.74,74.0,123.33333333333334,1.2321012321012321
138,127.76,73.0,121.66666666666667,1.2154512154512154
139,127.78,72.0,120.0,1.1988011988011986
140,127.8,83.0,138.33333333333334,1.381951381951382
141,127.82,68.0,113.33333333333334,1.1322011322011323
142,127.84,81.0,135.0,1.3486513486513485
143,127.86,61.0,101.66666666666667,1.0156510156510157
144,127.88,87.0,145.0,1.4485514485514484
145,127.9,77.0,128.33333333333334,1.282051282051282
146,127.92,77.0,128.33333333333334,1.282051282051282
147,127.94,67.0,111.66666666666667,1.1155511155511155
148,127.96,81.0,135.0,1.3486513486513485
149,127.98,84.0,140.0,1.3986013986013985
150,128.0,69.0,115.0,1.1488511488511488
151,128.02,67.0,111.66666666666667,1.1155511155511155
152,128.04,65.0,108.33333333333334,1.0822510822510822
153,128.06,78.0,130.0,1.2987012987012987
154,128.08,71.0,118.33333333333334,1.182151182151182
155,128.1,70.0,116.66666666666667,1.1655011655011656
156,128.12,71.0,118.33333333333334,1.182151182151182
157,128.14,65.0,108.33333333333334,1.0822510822510822
