,L,counts,cps,cps_per_nA
0,125.0,97.0,161.66666666666669,1.6150516150516152
1,125.02,102.0,170.0,1.698301698301698
2,125.04,119.0,198.33333333333334,1.9813519813519813
3,125.06,118.0,196.66666666666669,1.9647019647019648
4,125.08,127.0,211.66666666666669,2.1145521145521147
5,125.1,122.0,203.33333333333334,2.0313020313020314
6,125.12,106.0,176.66666666666669,1.7649017649017649
7,125.14,103.0,171.66666666666669,1.714951714951715
8,125.16,101.0,168.33333333333334,1.6816516816516816
9,125.18,114.0,190.0,1.898101898101898
10,125.2,107.0,178.33333333333334,1.7815517815517814
11,125.22,118.0,196.66666666666669,1.9647019647019648
12,125.24,130.0,216.66666666666669,2.1645021645021645
13,125.26,109.0,181.66666666666669,1.814851814851815
14,125.28,118.0,196.66666666666669,1.9647019647019648
15,125.3,116.0,193.33333333333334,1.9314019314019313
16,125.32,136.0,226.66666666666669,2.2644022644022646
17,125.34,102.0,170.0,1.698301698301698
18,125.36,128.0,213.33333333333334,2.131202131202131
19,125.38,98.0,163.33333333333334,1.6317016317016317
20,125.4,112.0,186.66666666666669,1.864801864801865
21,125.42,112.0,186.66666666666669,1.864801864801865
22,125.44,128.0,213.33333333333334,2.131202131202131
23,125.46,125.0,208.33333333333334,2.081252081252081
24,125.48,119.0,198.33333333333334,1.9813519813519813
25,125.5,88.0,146.66666666666669,1.4652014652014653
26,125.52,115.0,191.66666666666669,1.9147519147519148
27,125.54,108.0,180.0,1.7982017982017982
28,125.56,101.0,168.33333333333334,1.6816516816516816
29,125.58,114.0,190.0,1.898101898101898
30,125.6,99.0,165.0,1.6483516483516483
31,125.62,141.0,235.0,2.3476523476523474
32,125.64,111.0,185.0,1.848151848151848
33,125.66,105.0,175.0,1.7482517482517481
34,125.68,102.0,170.0,1.698301698301698
35,125.7,127.0,211.66666666666669,2.1145521145521147
36,125.72,116.0,193.33333333333334,1.9314019314019313
37,125.74,121.0,201.66666666666669,2.0146520146520146
38,125.76,139.0,231.66666666666669,2.3143523143523144
39,125.78,100.0,166.66666666666669,1.665001665001665
40,125.8,116.0,193.33333333333334,1.9314019314019313
41,125.82,116.0,193.33333333333334,1.9314019314019313
42,125.84,123.0,205.0,2.0479520479520477
43,125.86,110.0,183.33333333333334,1.8315018315018314
44,125.88,110.0,183.33333333333334,1.8315018315018314
45,125.9,112.0,186.66666666666669,1.864801864801865
46,125.92,113.0,188.33333333333334,1.8814518814518815
47,125.94,110.0,183.33333333333334,1.8315018315018314
48,125.96,120.0,200.0,1.9980019980019978
49,125.98,105.0,175.0,1.7482517482517481
50,126.0,104.0,173.33333333333334,1.7316017316017316
51,126.02,91.0,151.66666666666669,1.5151515151515151
52,126.04,111.0,185.0,1.848151848151848
53,126.06,133.0,221.66666666666669,2.2144522144522143
54,126.08,135.0,225.0,2.2477522477522474
55,126.1,119.0,198.33333333333334,1.9813519813519813
56,126.12,126.0,210.0,2.097902097902098
57,126.14,106.0,176.66666666666669,1.7649017649017649
58,126.16,112.0,186.66666666666669,1.864801864801865
59,126.18,113.0,188.33333333333334,1.8814518814518815
60,126.2,113.0,188.33333333333334,1.8814518814518815
61,126.22,113.0,188.33333333333334,1.8814518814518815
62,126.24,125.0,208.33333333333334,2.081252081252081
63,126.26,113.0,188.33333333333334,1.8814518814518815
64,126.28,126.0,210.0,2.097902097902098
65,126.3,115.0,191.66666666666669,1.9147519147519148
66,126.32,101.0,168.33333333333334,1.6816516816516816
67,126.34,127.0,211.66666666666669,2.1145521145521147
68,126.36,122.0,203.33333333333334,2.0313020313020314
69,126.38,110.0,183.33333333333334,1.8315018315018314
70,126.4,114.0,190.0,1.898101898101898
71,126.42,109.0,181.66666666666669,1.814851814851815
72,126.44,95.0,158.33333333333334,1.5817515817515817
73,126.46,104.0,173.33333333333334,1.7316017316017316
74,126.48,106.0,176.66666666666669,1.7649017649017649
75,126.5,96.0,160.0,1.5984015984015982
