,L,counts,cps,cps_per_nA
0,125.0,305.0,508.33333333333337,5.078255078255078
1,125.02,316.0,526.6666666666667,5.261405261405262
2,125.04,329.0,548.3333333333334,5.477855477855478
3,125.06,340.0,566.6666666666667,5.661005661005661
4,125.08,336.0,560.0,5.594405594405594
5,125.1,310.0,516.6666666666667,5.161505161505162
6,125.12,332.0,553.3333333333334,5.527805527805528
7,125.14,327.0,545.0,5.444555444555444
8,125.16,332.0,553.3333333333334,5.527805527805528
9,125.18,327.0,545.0,5.444555444555444
10,125.2,318.0,530.0,5.294705294705294
11,125.22,321.0,535.0,5.344655344655345
12,125.24,317.0,528.3333333333334,5.278055278055278
13,125.26,343.0,571.6666666666667,5.710955710955711
14,125.28,323.0,538.3333333333334,5.377955377955378
15,125.3,342.0,570.0,5.694305694305694
16,125.32,351.0,585.0,5.844155844155844
17,125.34,347.0,578.3333333333334,5.7775557775557775
18,125.36,350.0,583.3333333333334,5.827505827505828
19,125.38,336.0,560.0,5.594405594405594
20,125.4,300.0,500.0,4.995004995004995
21,125.42,324.0,540.0,5.394605394605394
22,125.44,334.0,556.6666666666667,5.5611055611055615
23,125.46,314.0,523.3333333333334,5.228105228105228
24,125.48,314.0,523.3333333333334,5.228105228105228
25,125.5,358.0,596.6666666666667,5.960705960705961
26,125.52,290.0,483.33333333333337,4.828504828504829
27,125.54,337.0,561.6666666666667,5.611055611055611
28,125.56,336.0,560.0,5.594405594405594
29,125.58,317.0,528.3333333333334,5.278055278055278
30,125.6,334.0,556.6666666666667,5.5611055611055615
31,125.62,330.0,550.0,5.494505494505494
32,125.64,316.0,526.6666666666667,5.261405261405262
33,125.66,362.0,603.3333333333334,6.027306027306027
34,125.68,332.0,553.3333333333334,5.527805527805528
35,125.7,340.0,566.6666666666667,5.661005661005661
36,125.72,332.0,553.3333333333334,5.527805527805528
37,125.74,324.0,540.0,5.394605394605394
38,125.76,328.0,546.6666666666667,5.461205461205462
39,125.78,338.0,563.3333333333334,5.627705627705628
40,125.8,330.0,550.0,5.494505494505494
41,125.82,342.0,570.0,5.694305694305694
42,125.84,310.0,516.6666666666667,5.161505161505162
43,125.86,328.0,546.6666666666667,5.461205461205462
44,125.88,317.0,528.3333333333334,5.278055278055278
45,125.9,315.0,525.0,5.244755244755244
46,125.92,325.0,541.6666666666667,5.411255411255412
47,125.94,294.0,490.0,4.895104895104895
48,125.96,326.0,543.3333333333334,5.4279054279054275
49,125.98,307.0,511.6666666666667,5.111555111555111
50,126.0,319.0,531.6666666666667,5.311355311355312
51,126.02,332.0,553.3333333333334,5.527805527805528
52,126.04,311.0,518.3333333333334,5.178155178155178
53,126.06,301.0,501.6666666666667,5.011655011655011
54,126.08,331.0,551.6666666666667,5.511155511155511
55,126.1,298.0,496.6666666666667,4.961704961704961
56,126.12,322.0,536.6666666666667,5.361305361305361
57,126.14,322.0,536.6666666666667,5.361305361305361
58,126.16,322.0,536.6666666666667,5.361305361305361
59,126.18,300.0,500.0,4.995004995004995
60,126.2,275.0,458.33333333333337,4.5787545787545785
61,126.22,307.0,511.6666666666667,5.111555111555111
62,126.24,320.0,533.3333333333334,5.328005328005328
63,126.26,336.0,560.0,5.594405594405594
64,126.28,304.0,506.6666666666667,5.061605061605062
65,126.3,319.0,531.6666666666667,5.311355311355312
66,126.32,311.0,518.3333333333334,5.178155178155178
67,126.34,307.0,511.6666666666667,5.111555111555111
68,126.36,296.0,493.33333333333337,4.9284049284049285
69,126.38,320.0,533.3333333333334,5.328005328005328
70,126.4,307.0,511.6666666666667,5.111555111555111
71,126.42,330.0,550.0,5.494505494505494
72,126.44,281.0,468.33333333333337,4.678654678654679
73,126.46,344.0,573.3333333333334,5.727605727605727
74,126.48,329.0,548.3333333333334,5.477855477855478
75,126.5,313.0,521.6666666666667,5.2114552114552115
76,126.52,292.0,486.6666666666667,4.8618048618048615
77,126.54,316.0,526.6666666666667,5.261405261405262
78,126.56,269.0,448.33333333333337,4.478854478854479
79,126.58,315.0,525.0,5.244755244755244
80,126.6,304.0,506.6666666666667,5.061605061605062
81,126.62,308.0,513.3333333333334,5.128205128205128
82,126.64,290.0,483.33333333333337,4.828504828504829
83,126.66,305.0,508.33333333333337,5.078255078255078
84,126.68,306.0,510.0,5.094905094905094
85,126.7,291.0,485.0,4.845154845154845
86,126.72,278.0,463.33333333333337,4.628704628704629
87,126.74,301.0,501.6666666666667,5.011655011655011
88,126.76,329.0,548.3333333333334,5.477855477855478
89,126.78,291.0,485.0,4.845154845154845
90,126.8,296.0,493.33333333333337,4.9284049284049285
91,126.82,301.0,501.6666666666667,5.011655011655011
92,126.84,291.0,485.0,4.845154845154845
93,126.86,283.0,471.6666666666667,4.711954711954712
94,126.88,278.0,463.33333333333337,4.628704628704629
95,126.9,305.0,508.33333333333337,5.078255078255078
96,126.92,306.0,510.0,5.094905094905094
97,126.94,298.0,496.6666666666667,4.961704961704961
98,126.96,300.0,500.0,4.995004995004995
99,126.98,319.0,531.6666666666667,5.311355311355312
100,127.0,281.0,468.33333333333337,4.678654678654679
101,127.02,296.0,493.33333333333337,4.9284049284049285
102,127.04,305.0,508.33333333333337,5.078255078255078
103,127.06,289.0,481.6666666666667,4.811854811854811
104,127.08,286.0,476.6666666666667,4.761904761904762
105,127.1,353.0,588.3333333333334,5.877455877455877
106,127.12,321.0,535.0,5.344655344655345
107,127.14,328.0,546.6666666666667,5.461205461205462
108,127.16,307.0,511.6666666666667,5.111555111555111
109,127.18,290.0,483.33333333333337,4.828504828504829
110,127.2,261.0,435.0,4.345654345654346
111,127.22,297.0,495.0,4.945054945054944
112,127.24,313.0,521.6666666666667,5.2114552114552115
113,127.26,316.0,526.6666666666667,5.261405261405262
114,127.28,292.0,486.6666666666667,4.8618048618048615
115,127.3,299.0,498.33333333333337,4.978354978354978
116,127.32,283.0,471.6666666666667,4.711954711954712
117,127.34,278.0,463.33333333333337,4.628704628704629
118,127.36,328.0,546.6666666666667,5.461205461205462
119,127.38,300.0,500.0,4.995004995004995
120,127.4,267.0,445.0,4.445554445554445
121,127.42,290.0,483.33333333333337,4.828504828504829
122,127.44,277.0,461.6666666666667,4.612054612054612
123,127.46,269.0,448.33333333333337,4.478854478854479
124,127.48,281.0,468.33333333333337,4.678654678654679
125,127.5,294.0,490.0,4.895104895104895
126,127.52,315.0,525.0,5.244755244755244
127,127.54,276.0,460.0,4.595404595404595
128,127.56,313.0,521.6666666666667,5.2114552114552115
129,127.58,295.0,491.6666666666667,4.911754911754912
130,127.6,307.0,511.6666666666667,5.111555111555111
131,127.62,286.0,476.6666666666667,4.761904761904762
132,127.64,303.0,505.0,5.044955044955045
133,127.66,300.0,500.0,4.995004995004995
134,127.68,300.0,500.0,4.995004995004995
135,127.7,309.0,515.0,5.1448551448551445
136,127.72,273.0,455.0,4.545454545454545
137,127.74,265.0,441.6666666666667,4.412254412254412
138,127.76,249.0,415.0,4.145854145854146
139,127.78,303.0,505.0,5.044955044955045
140,127.8,280.0,466.6666666666667,4.662004662004662
141,127.82,282.0,470.0,4.695304695304695
142,127.84,270.0,450.0,4.495504495504495
143,127.86,282.0,470.0,4.695304695304695
144,127.88,285.0,475.0,4.745254745254745
145,127.9,293.0,488.33333333333337,4.878454878454878
146,127.92,294.0,490.0,4.895104895104895
147,127.94,299.0,498.33333333333337,4.978354978354978
148,127.96,294.0,490.0,4.895104895104895
149,127.98,300.0,500.0,4.995004995004995
150,128.0,303.0,505.0,5.044955044955045
151,128.02,288.0,480.0,4.7952047952047945
152,128.04,294.0,490.0,4.895104895104895
153,128.06,268.0,446.6666666666667,4.462204462204462
154,128.08,337.0,561.6666666666667,5.611055611055611
155,128.1,295.0,491.6666666666667,4.911754911754912
156,128.12,282.0,470.0,4.695304695304695
157,128.14,315.0,525.0,5.244755244755244
158,128.16,280.0,466.6666666666667,4.662004662004662
159,128.18,303.0,505.0,5.044955044955045
160,128.2,272.0,453.33333333333337,4.528804528804529
161,128.22,305.0,508.33333333333337,5.078255078255078
162,128.24,288.0,480.0,4.7952047952047945
163,128.26,291.0,485.0,4.845154845154845
164,128.28,279.0,465.0,4.645354645354645
165,128.3,301.0,501.6666666666667,5.011655011655011
166,128.32,278.0,463.33333333333337,4.628704628704629
167,128.34,301.0,501.6666666666667,5.011655011655011
168,128.36,277.0,461.6666666666667,4.612054612054612
169,128.38,264.0,440.0,4.395604395604395
170,128.4,258.0,430.0,4.2957042957042955
171,128.42,264.0,440.0,4.395604395604395
172,128.44,261.0,435.0,4.345654345654346
173,128.46,275.0,458.33333333333337,4.5787545787545785
174,128.48,257.0,428.33333333333337,4.279054279054279
175,128.5,270.0,450.0,4.495504495504495
176,128.52,286.0,476.6666666666667,4.761904761904762
177,128.54,276.0,460.0,4.595404595404595
178,128.56,268.0,446.6666666666667,4.462204462204462
179,128.58,289.0,481.6666666666667,4.811854811854811
180,128.6,285.0,475.0,4.745254745254745
181,128.62,256.0,426.6666666666667,4.262404262404262
182,128.64,288.0,480.0,4.7952047952047945
183,128.66,285.0,475.0,4.745254745254745
184,128.68,274.0,456.6666666666667,4.562104562104562
185,128.7,258.0,430.0,4.2957042957042955
186,128.72,284.0,473.33333333333337,4.728604728604728
187,128.74,262.0,436.6666666666667,4.3623043623043625
188,128.76,283.0,471.6666666666667,4.711954711954712
189,128.78,232.0,386.6666666666667,3.8628038628038626
190,128.8,271.0,451.6666666666667,4.512154512154512
191,128.82,264.0,440.0,4.395604395604395
192,128.84,274.0,456.6666666666667,4.562104562104562
193,128.86,289.0,481.6666666666667,4.811854811854811
194,128.88,275.0,458.33333333333337,4.5787545787545785
195,128.9,281.0,468.33333333333337,4.678654678654679
196,128.92,296.0,493.33333333333337,4.9284049284049285
197,128.94,260.0,433.33333333333337,4.329004329004329
198,128.96,275.0,458.33333333333337,4.5787545787545785
199,128.98,281.0,468.33333333333337,4.678654678654679
200,129.0,275.0,458.33333333333337,4.5787545787545785
201,129.02,289.0,481.6666666666667,4.811854811854811
202,129.04,274.0,456.6666666666667,4.562104562104562
203,129.06,262.0,436.6666666666667,4.3623043623043625
204,129.08,276.0,460.0,4.595404595404595
205,129.1,257.0,428.33333333333337,4.279054279054279
206,129.12,263.0,438.33333333333337,4.378954378954379
207,129.14,258.0,430.0,4.2957042957042955
208,129.16,250.0,416.6666666666667,4.162504162504162
209,129.18,297.0,495.0,4.945054945054944
210,129.2,268.0,446.6666666666667,4.462204462204462
211,129.22,280.0,466.6666666666667,4.662004662004662
212,129.24,265.0,441.6666666666667,4.412254412254412
213,129.26,239.0,398.33333333333337,3.9793539793539794
214,129.28,268.0,446.6666666666667,4.462204462204462
215,129.3,275.0,458.33333333333337,4.5787545787545785
216,129.32,284.0,473.33333333333337,4.728604728604728
217,129.34,255.0,425.0,4.245754245754245
218,129.36,267.0,445.0,4.445554445554445
219,129.38,247.0,411.6666666666667,4.112554112554112
220,129.4,260.0,433.33333333333337,4.329004329004329
221,129.42,254.0,423.33333333333337,4.229104229104229
222,129.44,256.0,426.6666666666667,4.262404262404262
223,129.46,261.0,435.0,4.345654345654346
224,129.48,272.0,453.33333333333337,4.528804528804529
225,129.5,266.0,443.33333333333337,4.428904428904429
226,129.52,282.0,470.0,4.695304695304695
227,129.54,269.0,448.33333333333337,4.478854478854479
228,129.56,269.0,448.33333333333337,4.478854478854479
229,129.58,283.0,471.6666666666667,4.711954711954712
230,129.6,274.0,456.6666666666667,4.562104562104562
231,129.62,239.0,398.33333333333337,3.9793539793539794
232,129.64,269.0,448.33333333333337,4.478854478854479
233,129.66,263.0,438.33333333333337,4.378954378954379
234,129.68,263.0,438.33333333333337,4.378954378954379
235,129.7,248.0,413.33333333333337,4.129204129204129
236,129.72,238.0,396.6666666666667,3.9627039627039626
237,129.74,225.0,375.0,3.7462537462537457
238,129.76,289.0,481.6666666666667,4.811854811854811
239,129.78,246.0,410.0,4.095904095904095
240,129.8,250.0,416.6666666666667,4.162504162504162
241,129.82,268.0,446.6666666666667,4.462204462204462
242,129.84,249.0,415.0,4.145854145854146
243,129.86,277.0,461.6666666666667,4.612054612054612
244,129.88,251.0,418.33333333333337,4.179154179154179
245,129.9,236.0,393.33333333333337,3.9294039294039296
246,129.92,276.0,460.0,4.595404595404595
247,129.94,268.0,446.6666666666667,4.462204462204462
248,129.96,243.0,405.0,4.045954045954046
249,129.98,239.0,398.33333333333337,3.9793539793539794
250,130.0,238.0,396.6666666666667,3.9627039627039626
251,130.02,252.0,420.0,4.195804195804196
252,130.04,246.0,410.0,4.095904095904095
253,130.06,258.0,430.0,4.2957042957042955
254,130.08,297.0,495.0,4.945054945054944
255,130.1,251.0,418.33333333333337,4.179154179154179
256,130.12,246.0,410.0,4.095904095904095
257,130.14,275.0,458.33333333333337,4.5787545787545785
258,130.16,284.0,473.33333333333337,4.728604728604728
259,130.18,267.0,445.0,4.445554445554445
260,130.2,241.0,401.6666666666667,4.0126540126540124
261,130.22,272.0,453.33333333333337,4.528804528804529
262,130.24,277.0,461.6666666666667,4.612054612054612
263,130.26,258.0,430.0,4.2957042957042955
264,130.28,249.0,415.0,4.145854145854146
