,L,counts,cps,cps_per_nA
0,125.0,197.0,328.33333333333337,3.2833333333333337
1,125.02,222.0,370.0,3.7
2,125.04,223.0,371.6666666666667,3.716666666666667
3,125.06,207.0,345.0,3.45
4,125.08,202.0,336.6666666666667,3.3666666666666667
5,125.1,210.0,350.0,3.5
6,125.12,204.0,340.0,3.4
7,125.14,189.0,315.0,3.15
8,125.16,204.0,340.0,3.4
9,125.18,197.0,328.33333333333337,3.2833333333333337
10,125.2,201.0,335.0,3.35
11,125.22,208.0,346.6666666666667,3.466666666666667
12,125.24,202.0,336.6666666666667,3.3666666666666667
13,125.26,217.0,361.6666666666667,3.6166666666666667
14,125.28,199.0,331.6666666666667,3.316666666666667
15,125.3,236.0,393.33333333333337,3.9333333333333336
16,125.32,206.0,343.33333333333337,3.4333333333333336
17,125.34,216.0,360.0,3.6
18,125.36,183.0,305.0,3.05
19,125.38,204.0,340.0,3.4
20,125.4,200.0,333.33333333333337,3.333333333333334
21,125.42,211.0,351.6666666666667,3.516666666666667
22,125.44,191.0,318.33333333333337,3.1833333333333336
23,125.46,185.0,308.33333333333337,3.083333333333334
24,125.48,199.0,331.6666666666667,3.316666666666667
25,125.5,198.0,330.0,3.3
26,125.52,204.0,340.0,3.4
27,125.54,178.0,296.6666666666667,2.966666666666667
28,125.56,205.0,341.6666666666667,3.416666666666667
29,125.58,212.0,353.33333333333337,3.5333333333333337
30,125.6,193.0,321.6666666666667,3.216666666666667
31,125.62,222.0,370.0,3.7
32,125.64,194.0,323.33333333333337,3.233333333333334
33,125.66,194.0,323.33333333333337,3.233333333333334
34,125.68,193.0,321.6666666666667,3.216666666666667
35,125.7,191.0,318.33333333333337,3.1833333333333336
36,125.72,206.0,343.33333333333337,3.4333333333333336
37,125.74,199.0,331.6666666666667,3.316666666666667
38,125.76,227.0,378.33333333333337,3.7833333333333337
39,125.78,200.0,333.33333333333337,3.333333333333334
40,125.8,203.0,338.33333333333337,3.3833333333333337
41,125.82,198.0,330.0,3.3
42,125.84,177.0,295.0,2.95
43,125.86,206.0,343.33333333333337,3.4333333333333336
44,125.88,190.0,316.6666666666667,3.166666666666667
45,125.9,191.0,318.33333333333337,3.1833333333333336
46,125.92,199.0,331.6666666666667,3.316666666666667
47,125.94,173.0,288.33333333333337,2.8833333333333337
48,125.96,204.0,340.0,3.4
49,125.98,214.0,356.6666666666667,3.566666666666667
50,126.0,207.0,345.0,3.45
51,126.02,181.0,301.6666666666667,3.016666666666667
52,126.04,178.0,296.6666666666667,2.966666666666667
53,126.06,202.0,336.6666666666667,3.3666666666666667
54,126.08,181.0,301.6666666666667,3.016666666666667
55,126.1,216.0,360.0,3.6
56,126.12,201.0,335.0,3.35
57,126.14,208.0,346.6666666666667,3.466666666666667
58,126.16,219.0,365.0,3.65
59,126.18,195.0,325.0,3.25
60,126.2,197.0,328.33333333333337,3.2833333333333337
61,126.22,197.0,328.33333333333337,3.2833333333333337
62,126.24,196.0,326.6666666666667,3.266666666666667
63,126.26,207.0,345.0,3.45
64,126.28,179.0,298.33333333333337,2.983333333333334
65,126.3,206.0,343.33333333333337,3.4333333333333336
66,126.32,204.0,340.0,3.4
67,126.34,194.0,323.33333333333337,3.233333333333334
68,126.36,205.0,341.6666666666667,3.416666666666667
69,126.38,194.0,323.33333333333337,3.233333333333334
70,126.4,204.0,340.0,3.4
71,126.42,199.0,331.6666666666667,3.316666666666667
72,126.44,194.0,323.33333333333337,3.233333333333334
73,126.46,196.0,326.6666666666667,3.266666666666667
74,126.48,207.0,345.0,3.45
75,126.5,198.0,330.0,3.3
76,126.52,208.0,346.6666666666667,3.466666666666667
77,126.54,175.0,291.6666666666667,2.916666666666667
78,126.56,202.0,336.6666666666667,3.3666666666666667
79,126.58,158.0,263.33333333333337,2.6333333333333337
80,126.6,200.0,333.33333333333337,3.333333333333334
81,126.62,187.0,311.6666666666667,3.1166666666666667
82,126.64,199.0,331.6666666666667,3.316666666666667
83,126.66,192.0,320.0,3.2
84,126.68,164.0,273.33333333333337,2.733333333333334
85,126.7,178.0,296.6666666666667,2.966666666666667
86,126.72,211.0,351.6666666666667,3.516666666666667
87,126.74,199.0,331.6666666666667,3.316666666666667
88,126.76,169.0,281.6666666666667,2.816666666666667
89,126.78,210.0,350.0,3.5
90,126.8,169.0,281.6666666666667,2.816666666666667
91,126.82,183.0,305.0,3.05
92,126.84,189.0,315.0,3.15
93,126.86,187.0,311.6666666666667,3.1166666666666667
94,126.88,191.0,318.33333333333337,3.1833333333333336
95,126.9,194.0,323.33333333333337,3.233333333333334
96,126.92,151.0,251.66666666666669,2.516666666666667
97,126.94,199.0,331.6666666666667,3.316666666666667
98,126.96,172.0,286.6666666666667,2.8666666666666667
99,126.98,205.0,341.6666666666667,3.416666666666667
100,127.0,168.0,280.0,2.8
101,127.02,213.0,355.0,3.55
102,127.04,191.0,318.33333333333337,3.1833333333333336
103,127.06,211.0,351.6666666666667,3.516666666666667
104,127.08,185.0,308.33333333333337,3.083333333333334
105,127.1,158.0,263.33333333333337,2.6333333333333337
106,127.12,175.0,291.6666666666667,2.916666666666667
107,127.14,182.0,303.33333333333337,3.0333333333333337
108,127.16,185.0,308.33333333333337,3.083333333333334
109,127.18,181.0,301.6666666666667,3.016666666666667
110,127.2,194.0,323.33333333333337,3.233333333333334
111,127.22,179.0,298.33333333333337,2.983333333333334
