,L,counts,cps,cps_per_nA
0,125.0,157.0,261.6666666666667,2.614052614052614
1,125.02,159.0,265.0,2.647352647352647
2,125.04,154.0,256.6666666666667,2.564102564102564
3,125.06,133.0,221.66666666666669,2.2144522144522143
4,125.08,142.0,236.66666666666669,2.364302364302364
5,125.1,143.0,238.33333333333334,2.380952380952381
6,125.12,149.0,248.33333333333334,2.4808524808524806
7,125.14,159.0,265.0,2.647352647352647
8,125.16,146.0,243.33333333333334,2.4309024309024307
9,125.18,157.0,261.6666666666667,2.614052614052614
10,125.2,116.0,193.33333333333334,1.9314019314019313
11,125.22,140.0,233.33333333333334,2.331002331002331
12,125.24,126.0,210.0,2.097902097902098
13,125.26,132.0,220.0,2.1978021978021975
14,125.28,132.0,220.0,2.1978021978021975
15,125.3,160.0,266.6666666666667,2.664002664002664
16,125.32,124.0,206.66666666666669,2.0646020646020644
17,125.34,136.0,226.66666666666669,2.2644022644022646
18,125.36,144.0,240.0,2.3976023976023972
19,125.38,127.0,211.66666666666669,2.1145521145521147
20,125.4,132.0,220.0,2.1978021978021975
21,125.42,145.0,241.66666666666669,2.4142524142524144
22,125.44,130.0,216.66666666666669,2.1645021645021645
23,125.46,139.0,231.66666666666669,2.3143523143523144
24,125.48,146.0,243.33333333333334,2.4309024309024307
25,125.5,134.0,223.33333333333334,2.231102231102231
26,125.52,151.0,251.66666666666669,2.514152514152514
27,125.54,149.0,248.33333333333334,2.4808524808524806
28,125.56,153.0,255.0,2.547452547452547
29,125.58,141.0,235.0,2.3476523476523474
30,125.6,139.0,231.66666666666669,2.3143523143523144
31,125.62,138.0,230.0,2.2977022977022976
32,125.64,147.0,245.0,2.4475524475524475
33,125.66,148.0,246.66666666666669,2.4642024642024642
34,125.68,160.0,266.6666666666667,2.664002664002664
35,125.7,156.0,260.0,2.5974025974025974
36,125.72,154.0,256.6666666666667,2.564102564102564
37,125.74,134.0,223.33333333333334,2.231102231102231
38,125.76,160.0,266.6666666666667,2.664002664002664
39,125.78,146.0,243.33333333333334,2.4309024309024307
40,125.8,137.0,228.33333333333334,2.281052281052281
41,125.82,154.0,256.6666666666667,2.564102564102564
42,125.84,161.0,268.33333333333337,2.6806526806526807
43,125.86,139.0,231.66666666666669,2.3143523143523144
44,125.88,154.0,256.6666666666667,2.564102564102564
45,125.9,154.0,256.6666666666667,2.564102564102564
46,125.92,135.0,225.0,2.2477522477522474
47,125.94,148.0,246.66666666666669,2.4642024642024642
48,125.96,128.0,213.33333333333334,2.131202131202131
49,125.98,142.0,236.66666666666669,2.364302364302364
