,L,counts,cps,cps_per_nA
0,125.0,35.0,58.333333333333336,0.5840341743425443
1,125.02,40.0,66.66666666666667,0.6674676278200508
2,125.04,39.0,65.0,0.6507809371245494
3,125.06,30.0,50.0,0.500600720865038
4,125.08,45.0,75.0,0.750901081297557
5,125.1,42.0,70.0,0.7008410092110532
6,125.12,40.0,66.66666666666667,0.6674676278200508
7,125.14,36.0,60.0,0.6007208650380456
8,125.16,28.0,46.66666666666667,0.4672273394740355
9,125.18,45.0,75.0,0.750901081297557
10,125.2,34.0,56.66666666666667,0.5673474836470431
11,125.22,48.0,80.0,0.8009611533840608
12,125.24,44.0,73.33333333333334,0.7342143906020558
13,125.26,33.0,55.0,0.5506607929515418
14,125.28,41.0,68.33333333333334,0.684154318515552
15,125.3,39.0,65.0,0.6507809371245494
16,125.32,46.0,76.66666666666667,0.7675877719930583
17,125.34,52.0,86.66666666666667,0.8677079161660659
18,125.36,36.0,60.0,0.6007208650380456
19,125.38,48.0,80.0,0.8009611533840608
20,125.4,49.0,81.66666666666667,0.8176478440795621
21,125.42,50.0,83.33333333333334,0.8343345347750635
22,125.44,39.0,65.0,0.6507809371245494
23,125.46,44.0,73.33333333333334,0.7342143906020558
24,125.48,40.0,66.66666666666667,0.6674676278200508
25,125.5,39.0,65.0,0.6507809371245494
26,125.52,34.0,56.66666666666667,0.5673474836470431
27,125.54,40.0,66.66666666666667,0.6674676278200508
28,125.56,33.0,55.0,0.5506607929515418
29,125.58,44.0,73.33333333333334,0.7342143906020558
30,125.6,38.0,63.333333333333336,0.6340942464290481
31,125.62,33.0,55.0,0.5506607929515418
32,125.64,42.0,70.0,0.7008410092110532
33,125.66,37.0,61.66666666666667,0.6174075557335469
34,125.68,43.0,71.66666666666667,0.7175276999065545
35,125.7,52.0,86.66666666666667,0.8677079161660659
36,125.72,40.0,66.66666666666667,0.6674676278200508
37,125.74,40.0,66.66666666666667,0.6674676278200508
38,125.76,38.0,63.333333333333336,0.6340942464290481
39,125.78,42.0,70.0,0.7008410092110532
40,125.8,33.0,55.0,0.5506607929515418
41,125.82,34.0,56.66666666666667,0.5673474836470431
42,125.84,33.0,55.0,0.5506607929515418
43,125.86,46.0,76.66666666666667,0.7675877719930583
44,125.88,40.0,66.66666666666667,0.6674676278200508
45,125.9,37.0,61.66666666666667,0.6174075557335469
46,125.92,36.0,60.0,0.6007208650380456
47,125.94,46.0,76.66666666666667,0.7675877719930583
48,125.96,43.0,71.66666666666667,0.7175276999065545
49,125.98,32.0,53.333333333333336,0.5339741022560406
50,126.0,38.0,63.333333333333336,0.6340942464290481
51,126.02,49.0,81.66666666666667,0.8176478440795621
52,126.04,29.0,48.333333333333336,0.48391403016953677
53,126.06,44.0,73.33333333333334,0.7342143906020558
54,126.08,46.0,76.66666666666667,0.7675877719930583
55,126.1,44.0,73.33333333333334,0.7342143906020558
56,126.12,34.0,56.66666666666667,0.5673474836470431
57,126.14,48.0,80.0,0.8009611533840608
58,126.16,39.0,65.0,0.6507809371245494
59,126.18,48.0,80.0,0.8009611533840608
60,126.2,45.0,75.0,0.750901081297557
