,L,counts,cps,cps_per_nA
0,125.0,37.0,61.66666666666667,0.6105610561056106
1,125.02,48.0,80.0,0.7920792079207921
2,125.04,55.0,91.66666666666667,0.9075907590759076
3,125.06,51.0,85.0,0.8415841584158416
4,125.08,36.0,60.0,0.594059405940594
5,125.1,48.0,80.0,0.7920792079207921
6,125.12,47.0,78.33333333333334,0.7755775577557756
7,125.14,43.0,71.66666666666667,0.7095709570957096
8,125.16,57.0,95.0,0.9405940594059405
9,125.18,37.0,61.66666666666667,0.6105610561056106
10,125.2,53.0,88.33333333333334,0.8745874587458747
11,125.22,59.0,98.33333333333334,0.9735973597359737
12,125.24,34.0,56.66666666666667,0.5610561056105611
13,125.26,41.0,68.33333333333334,0.6765676567656767
14,125.28,45.0,75.0,0.7425742574257426
15,125.3,43.0,71.66666666666667,0.7095709570957096
16,125.32,43.0,71.66666666666667,0.7095709570957096
17,125.34,42.0,70.0,0.693069306930693
18,125.36,55.0,91.66666666666667,0.9075907590759076
19,125.38,48.0,80.0,0.7920792079207921
20,125.4,60.0,100.0,0.9900990099009901
21,125.42,45.0,75.0,0.7425742574257426
22,125.44,41.0,68.33333333333334,0.6765676567656767
23,125.46,38.0,63.333333333333336,0.6270627062706271
24,125.48,60.0,100.0,0.9900990099009901
25,125.5,48.0,80.0,0.7920792079207921
26,125.52,46.0,76.66666666666667,0.7590759075907592
27,125.54,45.0,75.0,0.7425742574257426
28,125.56,47.0,78.33333333333334,0.7755775577557756
29,125.58,46.0,76.66666666666667,0.7590759075907592
30,125.6,49.0,81.66666666666667,0.8085808580858086
31,125.62,44.0,73.33333333333334,0.7260726072607262
32,125.64,45.0,75.0,0.7425742574257426
33,125.66,47.0,78.33333333333334,0.7755775577557756
34,125.68,34.0,56.66666666666667,0.5610561056105611
35,125.7,46.0,76.66666666666667,0.7590759075907592
36,125.72,29.0,48.333333333333336,0.47854785478547857
37,125.74,43.0,71.66666666666667,0.7095709570957096
38,125.76,45.0,75.0,0.7425742574257426
39,125.78,46.0,76.66666666666667,0.7590759075907592
40,125.8,48.0,80.0,0.7920792079207921
41,125.82,39.0,65.0,0.6435643564356436
42,125.84,46.0,76.66666666666667,0.7590759075907592
43,125.86,65.0,108.33333333333334,1.0726072607260726
44,125.88,50.0,83.33333333333334,0.8250825082508252
45,125.9,43.0,71.66666666666667,0.7095709570957096
46,125.92,62.0,103.33333333333334,1.0231023102310233
47,125.94,46.0,76.66666666666667,0.7590759075907592
48,125.96,37.0,61.66666666666667,0.6105610561056106
49,125.98,50.0,83.33333333333334,0.8250825082508252
50,126.0,49.0,81.66666666666667,0.8085808580858086
51,126.02,50.0,83.33333333333334,0.8250825082508252
52,126.04,48.0,80.0,0.7920792079207921
53,126.06,49.0,81.66666666666667,0.8085808580858086
54,126.08,57.0,95.0,0.9405940594059405
55,126.1,43.0,71.66666666666667,0.7095709570957096
56,126.12,42.0,70.0,0.693069306930693
57,126.14,43.0,71.66666666666667,0.7095709570957096
58,126.16,46.0,76.66666666666667,0.7590759075907592
59,126.18,47.0,78.33333333333334,0.7755775577557756
60,126.2,29.0,48.333333333333336,0.47854785478547857
61,126.22,38.0,63.333333333333336,0.6270627062706271
62,126.24,37.0,61.66666666666667,0.6105610561056106
63,126.26,49.0,81.66666666666667,0.8085808580858086
64,126.28,45.0,75.0,0.7425742574257426
65,126.3,47.0,78.33333333333334,0.7755775577557756
66,126.32,42.0,70.0,0.693069306930693
67,126.34,40.0,66.66666666666667,0.6600660066006601
68,126.36,55.0,91.66666666666667,0.9075907590759076
69,126.38,41.0,68.33333333333334,0.6765676567656767
70,126.4,44.0,73.33333333333334,0.7260726072607262
71,126.42,52.0,86.66666666666667,0.8580858085808581
72,126.44,43.0,71.66666666666667,0.7095709570957096
73,126.46,46.0,76.66666666666667,0.7590759075907592
74,126.48,49.0,81.66666666666667,0.8085808580858086
75,126.5,44.0,73.33333333333334,0.7260726072607262
76,126.52,53.0,88.33333333333334,0.8745874587458747
77,126.54,42.0,70.0,0.693069306930693
78,126.56,39.0,65.0,0.6435643564356436
79,126.58,50.0,83.33333333333334,0.8250825082508252
80,126.6,39.0,65.0,0.6435643564356436
81,126.62,38.0,63.333333333333336,0.6270627062706271
82,126.64,49.0,81.66666666666667,0.8085808580858086
83,126.66,46.0,76.66666666666667,0.7590759075907592
84,126.68,34.0,56.66666666666667,0.5610561056105611
85,126.7,43.0,71.66666666666667,0.7095709570957096
86,126.72,49.0,81.66666666666667,0.8085808580858086
87,126.74,62.0,103.33333333333334,1.0231023102310233
88,126.76,39.0,65.0,0.6435643564356436
89,126.78,49.0,81.66666666666667,0.8085808580858086
90,126.8,56.0,93.33333333333334,0.9240924092409242
91,126.82,40.0,66.66666666666667,0.6600660066006601
92,126.84,43.0,71.66666666666667,0.7095709570957096
93,126.86,43.0,71.66666666666667,0.7095709570957096
94,126.88,49.0,81.66666666666667,0.8085808580858086
95,126.9,50.0,83.33333333333334,0.8250825082508252
96,126.92,49.0,81.66666666666667,0.8085808580858086
97,126.94,48.0,80.0,0.7920792079207921
98,126.96,39.0,65.0,0.6435643564356436
99,126.98,51.0,85.0,0.8415841584158416
100,127.0,43.0,71.66666666666667,0.7095709570957096
101,127.02,48.0,80.0,0.7920792079207921
102,127.04,44.0,73.33333333333334,0.7260726072607262
103,127.06,47.0,78.33333333333334,0.7755775577557756
104,127.08,31.0,51.66666666666667,0.5115511551155116
105,127.1,42.0,70.0,0.693069306930693
106,127.12,38.0,63.333333333333336,0.6270627062706271
107,127.14,51.0,85.0,0.8415841584158416
108,127.16,49.0,81.66666666666667,0.8085808580858086
109,127.18,41.0,68.33333333333334,0.6765676567656767
110,127.2,46.0,76.66666666666667,0.7590759075907592
111,127.22,46.0,76.66666666666667,0.7590759075907592
112,127.24,37.0,61.66666666666667,0.6105610561056106
113,127.26,41.0,68.33333333333334,0.6765676567656767
