,L,counts,cps,cps_per_nA
0,125.0,119.0,198.33333333333334,1.9793745841650034
1,125.02,117.0,195.0,1.9461077844311376
2,125.04,122.0,203.33333333333334,2.0292747837658016
3,125.06,126.0,210.0,2.095808383233533
4,125.08,125.0,208.33333333333334,2.0791749833666002
5,125.1,128.0,213.33333333333334,2.1290751829673984
6,125.12,130.0,216.66666666666669,2.1623419827012644
7,125.14,130.0,216.66666666666669,2.1623419827012644
8,125.16,112.0,186.66666666666669,1.8629407850964739
9,125.18,132.0,220.0,2.1956087824351296
10,125.2,130.0,216.66666666666669,2.1623419827012644
11,125.22,132.0,220.0,2.1956087824351296
12,125.24,109.0,181.66666666666669,1.8130405854956755
13,125.26,123.0,205.0,2.0459081836327346
14,125.28,111.0,185.0,1.8463073852295409
15,125.3,121.0,201.66666666666669,2.012641383898869
16,125.32,112.0,186.66666666666669,1.8629407850964739
17,125.34,120.0,200.0,1.996007984031936
18,125.36,113.0,188.33333333333334,1.8795741849634067
19,125.38,123.0,205.0,2.0459081836327346
20,125.4,107.0,178.33333333333334,1.7797737857618097
21,125.42,112.0,186.66666666666669,1.8629407850964739
22,125.44,106.0,176.66666666666669,1.763140385894877
23,125.46,117.0,195.0,1.9461077844311376
24,125.48,123.0,205.0,2.0459081836327346
25,125.5,115.0,191.66666666666669,1.9128409846972723
26,125.52,126.0,210.0,2.095808383233533
27,125.54,96.0,160.0,1.596806387225549
28,125.56,100.0,166.66666666666669,1.6633399866932803
29,125.58,118.0,196.66666666666669,1.9627411842980707
30,125.6,99.0,165.0,1.6467065868263473
31,125.62,117.0,195.0,1.9461077844311376
32,125.64,107.0,178.33333333333334,1.7797737857618097
33,125.66,108.0,180.0,1.7964071856287425
34,125.68,115.0,191.66666666666669,1.9128409846972723
35,125.7,122.0,203.33333333333334,2.0292747837658016
36,125.72,121.0,201.66666666666669,2.012641383898869
37,125.74,99.0,165.0,1.6467065868263473
38,125.76,110.0,183.33333333333334,1.829673985362608
39,125.78,122.0,203.33333333333334,2.0292747837658016
40,125.8,133.0,221.66666666666669,2.2122421823020626
41,125.82,115.0,191.66666666666669,1.9128409846972723
42,125.84,117.0,195.0,1.9461077844311376
43,125.86,102.0,170.0,1.6966067864271457
44,125.88,95.0,158.33333333333334,1.580172987358616
