,L,counts,cps,cps_per_nA
0,125.0,73.0,121.66666666666667,1.2181284207715926
1,125.02,83.0,138.33333333333334,1.3849953277266052
2,125.04,84.0,140.0,1.4016820184221064
3,125.06,90.0,150.0,1.501802162595114
4,125.08,87.0,145.0,1.4517420905086103
5,125.1,94.0,156.66666666666669,1.5685489253771192
6,125.12,58.0,96.66666666666667,0.9678280603390735
7,125.14,79.0,131.66666666666669,1.3182485649446003
8,125.16,69.0,115.0,1.1513816579895875
9,125.18,78.0,130.0,1.3015618742490989
10,125.2,79.0,131.66666666666669,1.3182485649446003
11,125.22,75.0,125.0,1.251501802162595
12,125.24,73.0,121.66666666666667,1.2181284207715926
13,125.26,71.0,118.33333333333334,1.1847550393805901
14,125.28,66.0,110.0,1.1013215859030836
15,125.3,75.0,125.0,1.251501802162595
16,125.32,65.0,108.33333333333334,1.0846348952075824
17,125.34,74.0,123.33333333333334,1.2348151114670938
18,125.36,73.0,121.66666666666667,1.2181284207715926
19,125.38,80.0,133.33333333333334,1.3349352556401015
20,125.4,66.0,110.0,1.1013215859030836
21,125.42,84.0,140.0,1.4016820184221064
22,125.44,75.0,125.0,1.251501802162595
23,125.46,75.0,125.0,1.251501802162595
24,125.48,65.0,108.33333333333334,1.0846348952075824
25,125.5,72.0,120.0,1.2014417300760911
26,125.52,81.0,135.0,1.3516219463356025
27,125.54,60.0,100.0,1.001201441730076
28,125.56,94.0,156.66666666666669,1.5685489253771192
29,125.58,61.0,101.66666666666667,1.0178881324255773
30,125.6,74.0,123.33333333333334,1.2348151114670938
31,125.62,67.0,111.66666666666667,1.1180082765985848
32,125.64,79.0,131.66666666666669,1.3182485649446003
33,125.66,87.0,145.0,1.4517420905086103
34,125.68,89.0,148.33333333333334,1.485115471899613
35,125.7,85.0,141.66666666666669,1.4183687091176078
36,125.72,71.0,118.33333333333334,1.1847550393805901
37,125.74,91.0,151.66666666666669,1.5184888532906156
38,125.76,84.0,140.0,1.4016820184221064
39,125.78,87.0,145.0,1.4517420905086103
40,125.8,89.0,148.33333333333334,1.485115471899613
41,125.82,80.0,133.33333333333334,1.3349352556401015
42,125.84,65.0,108.33333333333334,1.0846348952075824
43,125.86,79.0,131.66666666666669,1.3182485649446003
44,125.88,70.0,116.66666666666667,1.1680683486850887
45,125.9,68.0,113.33333333333334,1.1346949672940863
46,125.92,86.0,143.33333333333334,1.435055399813109
47,125.94,76.0,126.66666666666667,1.2681884928580962
48,125.96,75.0,125.0,1.251501802162595
49,125.98,85.0,141.66666666666669,1.4183687091176078
50,126.0,82.0,136.66666666666669,1.368308637031104
51,126.02,69.0,115.0,1.1513816579895875
52,126.04,83.0,138.33333333333334,1.3849953277266052
53,126.06,95.0,158.33333333333334,1.5852356160726204
54,126.08,68.0,113.33333333333334,1.1346949672940863
55,126.1,95.0,158.33333333333334,1.5852356160726204
56,126.12,73.0,121.66666666666667,1.2181284207715926
57,126.14,74.0,123.33333333333334,1.2348151114670938
58,126.16,76.0,126.66666666666667,1.2681884928580962
59,126.18,71.0,118.33333333333334,1.1847550393805901
60,126.2,70.0,116.66666666666667,1.1680683486850887
61,126.22,67.0,111.66666666666667,1.1180082765985848
62,126.24,80.0,133.33333333333334,1.3349352556401015
63,126.26,103.0,171.66666666666669,1.7187291416366306
64,126.28,68.0,113.33333333333334,1.1346949672940863
65,126.3,84.0,140.0,1.4016820184221064
