"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Cl WT%"	"   P WT%"	"  Fe WT%"	"  Mn WT%"	"  Cr WT%"	"   K WT%"	"  Ca WT%"	"  Ru WT%"	"  Na WT%"	"  Mg WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Cl AT%"	"   P AT%"	"  Fe AT%"	"  Mn AT%"	"  Cr AT%"	"   K AT%"	"  Ca AT%"	"  Ru AT%"	"  Na AT%"	"  Mg AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  D2872_100nA_30um_1"	       1	       0	 .015403	 .597001	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3756	 100.000	 .000000	 .000000	 .000000	 .000208	 .112199	 .154070	 .057116	 .023479	 .000502	 .000458	 .000631	 .000087	 .000833	 .049454	 .000000	 .010539	 .041333	 .549090	 .000057	608	"GaN"
"Un    2  D2872_100nA_30um_2"	       2	       0	 .013351	 .597231	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3774	 100.000	 .000000	 .000000	 .000000	 .000181	 .112238	 .154064	 .057114	 .023478	 .000502	 .000458	 .000631	 .000087	 .000833	 .049452	 .000000	 .010539	 .041332	 .549091	 .000050	608	"GaN"
"Un    3  D2872_100nA_30um_3"	       3	       0	 .014689	 .597081	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3762	 100.000	 .000000	 .000000	 .000000	 .000199	 .112213	 .154068	 .057115	 .023479	 .000502	 .000458	 .000631	 .000087	 .000833	 .049453	 .000000	 .010539	 .041333	 .549090	 .000055	608	"GaN"
"Un    4  D2872_50nA_20um_1"	       4	       0	 .034804	 .594829	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3584	100.0000	 .000000	 .000000	 .000000	 .000471	 .111830	 .154124	 .057136	 .023487	 .000502	 .000458	 .000631	 .000087	 .000834	 .049471	 .000000	 .010543	 .041348	 .549078	 .000129	608	"GaN"
"Un    5  D2872_50nA_20um_146.6_180s_1"	       5	       0	 .017606	 .596754	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3736	 100.000	 .000000	 .000000	 .000000	 .000238	 .112157	 .154076	 .057118	 .023480	 .000502	 .000458	 .000631	 .000087	 .000833	 .049456	 .000000	 .010540	 .041335	 .549089	 .000065	608	"GaN"
"Un    6  D2872_50nA_20um_146.6_180s_2"	       6	       0	 .018756	 .596625	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3726	100.0000	 .000000	 .000000	 .000000	 .000254	 .112135	 .154079	 .057119	 .023481	 .000502	 .000458	 .000631	 .000087	 .000833	 .049457	 .000000	 .010540	 .041336	 .549088	 .000070	608	"GaN"
"Un    7  D2872_50nA_20um_146.6_180s_3"	       7	       0	 .017462	 .596770	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3738	 100.000	 .000000	 .000000	 .000000	 .000236	 .112160	 .154076	 .057118	 .023480	 .000502	 .000458	 .000631	 .000087	 .000833	 .049456	 .000000	 .010540	 .041335	 .549089	 .000065	608	"GaN"
"Un    8  D2872_50nA_20um_146.6_180s_4"	       8	       0	 .017451	 .596772	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3738	 100.000	 .000000	 .000000	 .000000	 .000236	 .112160	 .154076	 .057118	 .023480	 .000502	 .000458	 .000631	 .000087	 .000833	 .049456	 .000000	 .010540	 .041335	 .549089	 .000065	608	"GaN"
"Un    9  D2872_50nA_20um_146.6_180s_5"	       9	       0	 .017973	 .596713	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3733	100.0000	 .000000	 .000000	 .000000	 .000243	 .112150	 .154077	 .057119	 .023480	 .000502	 .000458	 .000631	 .000087	 .000833	 .049456	 .000000	 .010540	 .041335	 .549088	 .000067	608	"GaN"
"Un   10  D2872_50nA_20um_2"	      10	       0	 .039434	 .594312	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3543	 100.000	 .000000	 .000000	 .000000	 .000534	 .111742	 .154137	 .057141	 .023489	 .000502	 .000458	 .000631	 .000087	 .000834	 .049476	 .000000	 .010544	 .041351	 .549075	 .000147	608	"GaN"
"Un   11  D2872_50nA_20um_3"	      11	       0	 .031345	 .595216	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3614	 100.000	 .000000	 .000000	 .000000	 .000424	 .111896	 .154114	 .057132	 .023486	 .000502	 .000458	 .000631	 .000087	 .000834	 .049468	 .000000	 .010542	 .041345	 .549080	 .000116	608	"GaN"
"Un   12  D2872_50nA_20um_4"	      12	       0	 .036537	 .594636	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3568	 100.000	 .000000	 .000000	 .000000	 .000494	 .111797	 .154129	 .057138	 .023488	 .000502	 .000458	 .000631	 .000087	 .000834	 .049473	 .000000	 .010543	 .041349	 .549077	 .000136	608	"GaN"
"Un   13  D2872_50nA_20um_5"	      13	       0	 .033570	 .594968	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3595	 100.000	 .000000	 .000000	 .000000	 .000454	 .111853	 .154121	 .057135	 .023487	 .000502	 .000458	 .000631	 .000087	 .000834	 .049470	 .000000	 .010543	 .041347	 .549079	 .000125	608	"GaN"
"Un   14  D2872_50nA_20um_6"	      14	       0	 .036178	 .594676	 22.8420	 8.13500	 4.39400	 .082000	 .135000	 .183000	 .024000	 .172000	 10.4630	 .000000	 1.27900	 5.30300	 46.3572	 100.000	 .000000	 .000000	 .000000	 .000489	 .111804	 .154128	 .057137	 .023488	 .000502	 .000458	 .000631	 .000087	 .000834	 .049473	 .000000	 .010543	 .041349	 .549077	 .000134	608	"GaN"
