"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Cl WT%"	"   P WT%"	"  Fe WT%"	"  Mn WT%"	"  Cr WT%"	"   K WT%"	"  Ca WT%"	"  Ru WT%"	"  Na WT%"	"  Mg WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Cl AT%"	"   P AT%"	"  Fe AT%"	"  Mn AT%"	"  Cr AT%"	"   K AT%"	"  Ca AT%"	"  Ru AT%"	"  Na AT%"	"  Mg AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  D2893_100nA_30um_1"	       1	       0	 .000000	 .356899	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6921	 100.000	 .000000	 .000000	 .000000	 .000000	 .071436	 .159059	 .058848	 .005776	 .000541	 .020795	 .000900	 .000175	 .000836	 .051049	 .000024	 .011066	 .043323	 .576173	 .000000	608	"GaN"
"Un    2  D2893_100nA_30um_2"	       2	       0	 .000000	 .356899	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6921	 100.000	 .000000	 .000000	 .000000	 .000000	 .071436	 .159059	 .058848	 .005776	 .000541	 .020795	 .000900	 .000175	 .000836	 .051049	 .000024	 .011066	 .043323	 .576173	 .000000	608	"GaN"
"Un    3  D2893_100nA_30um_3"	       3	       0	 .000000	 .356899	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6921	 100.000	 .000000	 .000000	 .000000	 .000000	 .071436	 .159059	 .058848	 .005776	 .000541	 .020795	 .000900	 .000175	 .000836	 .051049	 .000024	 .011066	 .043323	 .576173	 .000000	608	"GaN"
"Un    4  D2893_100nA_30um_4"	       4	       0	 .000000	 .356899	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6921	 100.000	 .000000	 .000000	 .000000	 .000000	 .071436	 .159059	 .058848	 .005776	 .000541	 .020795	 .000900	 .000175	 .000836	 .051049	 .000024	 .011066	 .043323	 .576173	 .000000	608	"GaN"
"Un    5  D2893_100nA_30um_5"	       5	       0	 .000000	 .356899	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6921	 100.000	 .000000	 .000000	 .000000	 .000000	 .071436	 .159059	 .058848	 .005776	 .000541	 .020795	 .000900	 .000175	 .000836	 .051049	 .000024	 .011066	 .043323	 .576173	 .000000	608	"GaN"
"Un    6  D2893_50nA_20um_1"	       6	       0	 .000000	 .356899	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6921	 100.000	 .000000	 .000000	 .000000	 .000000	 .071436	 .159059	 .058848	 .005776	 .000541	 .020795	 .000900	 .000175	 .000836	 .051049	 .000024	 .011066	 .043323	 .576173	 .000000	608	"GaN"
"Un    7  D2893_50nA_20um_146.6_180s_1"	       7	       0	 .000000	 .356899	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6921	 100.000	 .000000	 .000000	 .000000	 .000000	 .071436	 .159059	 .058848	 .005776	 .000541	 .020795	 .000900	 .000175	 .000836	 .051049	 .000024	 .011066	 .043323	 .576173	 .000000	608	"GaN"
"Un    8  D2893_50nA_20um_146.6_180s_10"	       8	       0	 .000000	 .356899	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6921	 100.000	 .000000	 .000000	 .000000	 .000000	 .071436	 .159059	 .058848	 .005776	 .000541	 .020795	 .000900	 .000175	 .000836	 .051049	 .000024	 .011066	 .043323	 .576173	 .000000	608	"GaN"
"Un    9  D2893_50nA_20um_146.6_180s_2"	       9	       0	 .000000	 .356899	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6921	 100.000	 .000000	 .000000	 .000000	 .000000	 .071436	 .159059	 .058848	 .005776	 .000541	 .020795	 .000900	 .000175	 .000836	 .051049	 .000024	 .011066	 .043323	 .576173	 .000000	608	"GaN"
"Un   10  D2893_50nA_20um_146.6_180s_3"	      10	       0	 .000000	 .356899	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6921	 100.000	 .000000	 .000000	 .000000	 .000000	 .071436	 .159059	 .058848	 .005776	 .000541	 .020795	 .000900	 .000175	 .000836	 .051049	 .000024	 .011066	 .043323	 .576173	 .000000	608	"GaN"
