"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Cl WT%"	"   P WT%"	"  Fe WT%"	"  Mn WT%"	"  Cr WT%"	"   K WT%"	"  Ca WT%"	"  Ru WT%"	"  Na WT%"	"  Mg WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Cl AT%"	"   P AT%"	"  Fe AT%"	"  Mn AT%"	"  Cr AT%"	"   K AT%"	"  Ca AT%"	"  Ru AT%"	"  Na AT%"	"  Mg AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  D2893_100nA_30um_1"	       1	       0	 .069175	 .349158	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6307	 100.000	 .000000	 .000000	 .000000	 .000998	 .069979	 .159271	 .058926	 .005784	 .000541	 .020822	 .000901	 .000175	 .000837	 .051117	 .000024	 .011081	 .043381	 .576163	 .000279	608	"GaN"
"Un    2  D2893_100nA_30um_2"	       2	       0	 .068211	 .349266	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6315	 100.000	 .000000	 .000000	 .000000	 .000984	 .070000	 .159268	 .058925	 .005784	 .000541	 .020822	 .000901	 .000175	 .000837	 .051116	 .000024	 .011081	 .043380	 .576163	 .000275	608	"GaN"
"Un    3  D2893_100nA_30um_3"	       3	       0	 .076160	 .348377	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6245	 100.000	 .000000	 .000000	 .000000	 .001099	 .069832	 .159292	 .058934	 .005785	 .000541	 .020825	 .000901	 .000175	 .000837	 .051123	 .000024	 .011083	 .043387	 .576162	 .000307	608	"GaN"
"Un    4  D2893_100nA_30um_4"	       4	       0	 .061731	 .349991	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6373	 100.000	 .000000	 .000000	 .000000	 .000890	 .070136	 .159248	 .058918	 .005783	 .000541	 .020819	 .000901	 .000175	 .000837	 .051109	 .000024	 .011080	 .043375	 .576164	 .000249	608	"GaN"
"Un    5  D2893_100nA_30um_5"	       5	       0	 .063864	 .349752	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6354	 100.000	 .000000	 .000000	 .000000	 .000921	 .070091	 .159254	 .058920	 .005783	 .000541	 .020820	 .000901	 .000175	 .000837	 .051111	 .000024	 .011080	 .043377	 .576164	 .000257	608	"GaN"
"Un    6  D2893_50nA_20um_1"	       6	       0	 .036544	 .352809	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6597	 100.000	 .000000	 .000000	 .000000	 .000527	 .070667	 .159171	 .058889	 .005780	 .000541	 .020809	 .000900	 .000175	 .000836	 .051085	 .000024	 .011074	 .043354	 .576168	 .000147	608	"GaN"
"Un    7  D2893_50nA_20um_146.6_180s_1"	       7	       0	 .071888	 .348854	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6283	 100.000	 .000000	 .000000	 .000000	 .001037	 .069922	 .159279	 .058929	 .005784	 .000541	 .020823	 .000901	 .000175	 .000837	 .051119	 .000024	 .011082	 .043383	 .576163	 .000289	608	"GaN"
"Un    8  D2893_50nA_20um_146.6_180s_10"	       8	       0	 .078756	 .348086	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6222	 100.000	 .000000	 .000000	 .000000	 .001136	 .069777	 .159300	 .058937	 .005785	 .000541	 .020826	 .000901	 .000175	 .000837	 .051126	 .000024	 .011083	 .043389	 .576162	 .000317	608	"GaN"
"Un    9  D2893_50nA_20um_146.6_180s_2"	       9	       0	 .053254	 .350940	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6448	 100.000	 .000000	 .000000	 .000000	 .000768	 .070315	 .159222	 .058908	 .005782	 .000541	 .020816	 .000901	 .000175	 .000837	 .051101	 .000024	 .011078	 .043368	 .576165	 .000214	608	"GaN"
"Un   10  D2893_50nA_20um_146.6_180s_3"	      10	       0	 .050238	 .351278	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6475	 100.000	 .000000	 .000000	 .000000	 .000724	 .070379	 .159213	 .058905	 .005782	 .000541	 .020815	 .000901	 .000175	 .000837	 .051098	 .000024	 .011077	 .043365	 .576166	 .000202	608	"GaN"
