"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Cl WT%"	"   P WT%"	"  Fe WT%"	"  Mn WT%"	"  Cr WT%"	"   K WT%"	"  Ca WT%"	"  Ru WT%"	"  Na WT%"	"  Mg WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Cl AT%"	"   P AT%"	"  Fe AT%"	"  Mn AT%"	"  Cr AT%"	"   K AT%"	"  Ca AT%"	"  Ru AT%"	"  Na AT%"	"  Mg AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  D2893_100nA_30um_1"	       1	       0	 .083342	 .347574	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6181	 100.000	 .000000	 .000000	 .000000	 .001202	 .069681	 .159314	 .058942	 .005785	 .000542	 .020828	 .000901	 .000175	 .000837	 .051130	 .000024	 .011084	 .043393	 .576161	 .000336	608	"GaN"
"Un    2  D2893_100nA_30um_2"	       2	       0	 .082182	 .347703	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6191	 100.000	 .000000	 .000000	 .000000	 .001186	 .069705	 .159310	 .058941	 .005785	 .000541	 .020828	 .000901	 .000175	 .000837	 .051129	 .000024	 .011084	 .043392	 .576161	 .000331	608	"GaN"
"Un    3  D2893_100nA_30um_3"	       3	       0	 .091758	 .346632	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6106	 100.000	 .000000	 .000000	 .000000	 .001324	 .069503	 .159340	 .058952	 .005786	 .000542	 .020831	 .000901	 .000175	 .000837	 .051139	 .000024	 .011086	 .043400	 .576160	 .000369	608	"GaN"
"Un    4  D2893_100nA_30um_4"	       4	       0	 .074374	 .348577	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6261	 100.000	 .000000	 .000000	 .000000	 .001073	 .069870	 .159286	 .058932	 .005784	 .000541	 .020824	 .000901	 .000175	 .000837	 .051122	 .000024	 .011082	 .043385	 .576162	 .000299	608	"GaN"
"Un    5  D2893_100nA_30um_5"	       5	       0	 .076944	 .348289	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6238	 100.000	 .000000	 .000000	 .000000	 .001110	 .069816	 .159294	 .058935	 .005785	 .000541	 .020825	 .000901	 .000175	 .000837	 .051124	 .000024	 .011083	 .043388	 .576162	 .000310	608	"GaN"
"Un    6  D2893_50nA_20um_1"	       6	       0	 .044029	 .351972	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6530	 100.000	 .000000	 .000000	 .000000	 .000635	 .070509	 .159194	 .058898	 .005781	 .000541	 .020812	 .000901	 .000175	 .000837	 .051092	 .000024	 .011076	 .043360	 .576167	 .000177	608	"GaN"
"Un    7  D2893_50nA_20um_146.6_180s_1"	       7	       0	 .086612	 .347207	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6152	 100.000	 .000000	 .000000	 .000000	 .001250	 .069612	 .159324	 .058946	 .005786	 .000542	 .020829	 .000901	 .000175	 .000837	 .051134	 .000024	 .011085	 .043396	 .576161	 .000349	608	"GaN"
"Un    8  D2893_50nA_20um_146.6_180s_10"	       8	       0	 .094886	 .346281	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6078	 100.000	 .000000	 .000000	 .000000	 .001369	 .069437	 .159349	 .058955	 .005787	 .000542	 .020833	 .000901	 .000175	 .000837	 .051142	 .000024	 .011087	 .043403	 .576159	 .000382	608	"GaN"
"Un    9  D2893_50nA_20um_146.6_180s_2"	       9	       0	 .064161	 .349720	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6351	 100.000	 .000000	 .000000	 .000000	 .000925	 .070085	 .159255	 .058921	 .005783	 .000541	 .020820	 .000901	 .000175	 .000837	 .051112	 .000024	 .011080	 .043377	 .576164	 .000258	608	"GaN"
"Un   10  D2893_50nA_20um_146.6_180s_3"	      10	       0	 .060528	 .350125	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6384	 100.000	 .000000	 .000000	 .000000	 .000873	 .070162	 .159244	 .058917	 .005783	 .000541	 .020819	 .000901	 .000175	 .000837	 .051108	 .000024	 .011079	 .043374	 .576164	 .000244	608	"GaN"
"Un   11  D2893_50nA_20um_146.6_180s_4"	      11	       0	 .090706	 .346749	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6116	 100.000	 .000000	 .000000	 .000000	 .001309	 .069525	 .159336	 .058951	 .005786	 .000542	 .020831	 .000901	 .000175	 .000837	 .051138	 .000024	 .011086	 .043399	 .576160	 .000365	608	"GaN"
"Un   12  D2893_50nA_20um_146.6_180s_5"	      12	       0	 .060097	 .350175	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6387	 100.000	 .000000	 .000000	 .000000	 .000867	 .070171	 .159243	 .058916	 .005783	 .000541	 .020819	 .000901	 .000175	 .000837	 .051108	 .000024	 .011079	 .043373	 .576164	 .000242	608	"GaN"
"Un   13  D2893_50nA_20um_146.6_180s_6"	      13	       0	 .085982	 .347277	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6158	 100.000	 .000000	 .000000	 .000000	 .001241	 .069625	 .159322	 .058945	 .005786	 .000542	 .020829	 .000901	 .000175	 .000837	 .051133	 .000024	 .011085	 .043395	 .576161	 .000346	608	"GaN"
"Un   14  D2893_50nA_20um_146.6_180s_7"	      14	       0	 .084544	 .347439	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6170	 100.000	 .000000	 .000000	 .000000	 .001220	 .069655	 .159318	 .058944	 .005786	 .000542	 .020828	 .000901	 .000175	 .000837	 .051132	 .000024	 .011084	 .043394	 .576161	 .000340	608	"GaN"
"Un   15  D2893_50nA_20um_146.6_180s_8"	      15	       0	 .079562	 .347996	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6215	 100.000	 .000000	 .000000	 .000000	 .001148	 .069760	 .159302	 .058938	 .005785	 .000541	 .020826	 .000901	 .000175	 .000837	 .051127	 .000024	 .011083	 .043390	 .576161	 .000320	608	"GaN"
"Un   16  D2893_50nA_20um_146.6_180s_9"	      16	       0	 .071380	 .348912	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6287	 100.000	 .000000	 .000000	 .000000	 .001030	 .069933	 .159277	 .058929	 .005784	 .000541	 .020823	 .000901	 .000175	 .000837	 .051119	 .000024	 .011082	 .043383	 .576163	 .000287	608	"GaN"
"Un   17  D2893_50nA_20um_2"	      17	       0	 .062705	 .349883	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6364	 100.000	 .000000	 .000000	 .000000	 .000904	 .070116	 .159251	 .058919	 .005783	 .000541	 .020820	 .000901	 .000175	 .000837	 .051110	 .000024	 .011080	 .043376	 .576164	 .000252	608	"GaN"
"Un   18  D2893_50nA_20um_3"	      18	       0	 .030498	 .353486	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6650	 100.000	 .000000	 .000000	 .000000	 .000440	 .070794	 .159152	 .058883	 .005780	 .000541	 .020807	 .000900	 .000175	 .000836	 .051079	 .000024	 .011073	 .043349	 .576169	 .000123	608	"GaN"
"Un   19  D2893_50nA_20um_4"	      19	       0	 .050815	 .351213	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6470	 100.000	 .000000	 .000000	 .000000	 .000733	 .070366	 .159214	 .058906	 .005782	 .000541	 .020815	 .000901	 .000175	 .000837	 .051099	 .000024	 .011077	 .043366	 .576166	 .000205	608	"GaN"
"Un   20  D2893_50nA_20um_5"	      20	       0	 .032469	 .353266	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6633	 100.000	 .000000	 .000000	 .000000	 .000468	 .070753	 .159158	 .058885	 .005780	 .000541	 .020808	 .000900	 .000175	 .000836	 .051081	 .000024	 .011073	 .043350	 .576168	 .000131	608	"GaN"
"Un   21  D2893_50nA_20um_6"	      21	       0	 .073885	 .348631	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6265	 100.000	 .000000	 .000000	 .000000	 .001066	 .069880	 .159285	 .058932	 .005784	 .000541	 .020824	 .000901	 .000175	 .000837	 .051121	 .000024	 .011082	 .043385	 .576162	 .000297	608	"GaN"
