"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Cl WT%"	"   P WT%"	"  Fe WT%"	"  Mn WT%"	"  Cr WT%"	"   K WT%"	"  Ca WT%"	"  Ru WT%"	"  Na WT%"	"  Mg WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Cl AT%"	"   P AT%"	"  Fe AT%"	"  Mn AT%"	"  Cr AT%"	"   K AT%"	"  Ca AT%"	"  Ru AT%"	"  Na AT%"	"  Mg AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  D2893_100nA_30um_1"	       1	       0	 .013951	 .355339	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6797	 100.000	 .000000	 .000000	 .000000	 .000201	 .071143	 .159102	 .058864	 .005778	 .000541	 .020800	 .000900	 .000175	 .000836	 .051062	 .000024	 .011069	 .043335	 .576171	 .000055	608	"GaN"
"Un    2  D2893_100nA_30um_2"	       2	       0	 .016263	 .355080	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6777	 100.000	 .000000	 .000000	 .000000	 .000234	 .071094	 .159109	 .058866	 .005778	 .000541	 .020801	 .000900	 .000175	 .000836	 .051065	 .000024	 .011070	 .043337	 .576170	 .000064	608	"GaN"
"Un    3  D2893_100nA_30um_3"	       3	       0	 .015657	 .355146	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6782	 100.000	 .000000	 .000000	 .000000	 .000226	 .071106	 .159107	 .058866	 .005778	 .000541	 .020801	 .000900	 .000175	 .000836	 .051064	 .000024	 .011070	 .043336	 .576171	 .000062	608	"GaN"
"Un    4  D2893_100nA_30um_4"	       4	       0	 .017992	 .354885	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6761	 100.000	 .000000	 .000000	 .000000	 .000259	 .071057	 .159114	 .058868	 .005778	 .000541	 .020802	 .000900	 .000175	 .000836	 .051066	 .000024	 .011070	 .043338	 .576170	 .000071	608	"GaN"
"Un    5  D2893_100nA_30um_5"	       5	       0	 .012281	 .355525	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6812	 100.000	 .000000	 .000000	 .000000	 .000177	 .071178	 .159097	 .058862	 .005778	 .000541	 .020800	 .000900	 .000175	 .000836	 .051061	 .000024	 .011069	 .043334	 .576171	 .000049	608	"GaN"
"Un    6  D2893_50nA_20um_1"	       6	       0	 .025679	 .354026	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6693	 100.000	 .000000	 .000000	 .000000	 .000370	 .070896	 .159138	 .058877	 .005779	 .000541	 .020805	 .000900	 .000175	 .000836	 .051074	 .000024	 .011072	 .043345	 .576169	 .000102	608	"GaN"
"Un    7  D2893_50nA_20um_146.6_180s_1"	       7	       0	 .013121	 .355431	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6805	 100.000	 .000000	 .000000	 .000000	 .000189	 .071160	 .159099	 .058863	 .005778	 .000541	 .020800	 .000900	 .000175	 .000836	 .051062	 .000024	 .011069	 .043334	 .576171	 .000052	608	"GaN"
"Un    8  D2893_50nA_20um_146.6_180s_10"	       8	       0	 .016122	 .355094	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6778	 100.000	 .000000	 .000000	 .000000	 .000232	 .071097	 .159108	 .058866	 .005778	 .000541	 .020801	 .000900	 .000175	 .000836	 .051064	 .000024	 .011070	 .043337	 .576171	 .000064	608	"GaN"
"Un    9  D2893_50nA_20um_146.6_180s_2"	       9	       0	 .017379	 .354954	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6767	 100.000	 .000000	 .000000	 .000000	 .000250	 .071070	 .159112	 .058868	 .005778	 .000541	 .020802	 .000900	 .000175	 .000836	 .051066	 .000024	 .011070	 .043338	 .576170	 .000069	608	"GaN"
"Un   10  D2893_50nA_20um_146.6_180s_3"	      10	       0	 .013266	 .355415	 22.1420	 7.87000	 1.01500	 .083000	 5.75600	 .245000	 .045000	 .162000	 10.1410	 .012000	 1.26100	 5.21900	 45.6803	 100.000	 .000000	 .000000	 .000000	 .000191	 .071157	 .159100	 .058863	 .005778	 .000541	 .020800	 .000900	 .000175	 .000836	 .051062	 .000024	 .011069	 .043334	 .576171	 .000052	608	"GaN"
