2,15,10,40,"D2893_100nA_30um_1"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0008710463599983126,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_100nA_30um_2"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.001015440112033298,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_100nA_30um_3"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0009776027815275687,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_100nA_30um_4"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0011234088923574197,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_100nA_30um_5"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0007668251950699209,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_50nA_20um_1"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0016033476218595976,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_50nA_20um_146.6_180s_1"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0008192508881107553,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_50nA_20um_146.6_180s_10"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0010066147474944768,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_50nA_20um_146.6_180s_2"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0010850791181598915,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_50nA_20um_146.6_180s_3"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.000828282341470524,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_50nA_20um_146.6_180s_4"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0008386329814121411,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_50nA_20um_146.6_180s_5"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0007729085110352729,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_50nA_20um_146.6_180s_6"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0008421809190203584,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
"o","",1,0,"","",0,0
2,15,10,40,"D2893_50nA_20um_146.6_180s_7"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0008398226904585912,0
"h","",2,1,"","",0,0
"Si","",1,2,"",22.142,0,0
"Al","",2,3,"",7.87,0,0
"Cl","",1,0,"",1.015,0,0
"P","",2,5,"",0.083,0,0
"Fe","",2,3,"",5.756,0,0
"Mn","",1,1,"",0.245,0,0
"Cr","",2,3,"",0.045,0,0
"K","",2,1,"",0.162,0,0
"Ca","",1,1,"",10.141,0,0
"Ru","",2,3,"",0.012,0,0
"Na","",2,1,"",1.261,0,0
"Mg","",1,1,"",5.219,0,0
