"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Cl WT%"	"   P WT%"	"  Fe WT%"	"  Mn WT%"	"  Cr WT%"	"   K WT%"	"  Ca WT%"	"  Ru WT%"	"  Na WT%"	"  Mg WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Cl AT%"	"   P AT%"	"  Fe AT%"	"  Mn AT%"	"  Cr AT%"	"   K AT%"	"  Ca AT%"	"  Ru AT%"	"  Na AT%"	"  Mg AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  Edi09_100nA_30um_1"	       1	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un    2  Edi09_100nA_30um_2"	       2	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un    3  Edi09_100nA_30um_3"	       3	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un    4  Edi09_50nA_20um_146.6_180s_1"	       4	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un    5  Edi09_50nA_20um_146.6_180s_10"	       5	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un    6  Edi09_50nA_20um_146.6_180s_2"	       6	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un    7  Edi09_50nA_20um_146.6_180s_3"	       7	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un    8  Edi09_50nA_20um_146.6_180s_4"	       8	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un    9  Edi09_50nA_20um_146.6_180s_5"	       9	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un   10  Edi09_50nA_20um_146.6_180s_6"	      10	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un   11  Edi09_50nA_20um_146.6_180s_7"	      11	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un   12  Edi09_50nA_20um_146.6_180s_8"	      12	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
"Un   13  Edi09_50nA_20um_146.6_180s_9"	      13	       0	 .000000	 .453995	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.5180	 100.000	 .000000	 .000000	 .000000	 .000000	 .088706	 .155424	 .057570	 .000039	 .000534	 .020606	 .000878	 .000231	 .000796	 .049724	 .000018	 .010846	 .042016	 .572613	 .000000	608	"GaN"
