"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Cl WT%"	"   P WT%"	"  Fe WT%"	"  Mn WT%"	"  Cr WT%"	"   K WT%"	"  Ca WT%"	"  Ru WT%"	"  Na WT%"	"  Mg WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Cl AT%"	"   P AT%"	"  Fe AT%"	"  Mn AT%"	"  Cr AT%"	"   K AT%"	"  Ca AT%"	"  Ru AT%"	"  Na AT%"	"  Mg AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  Edi09_100nA_30um_1"	       1	       0	 .066234	 .446584	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4592	 100.000	 .000000	 .000000	 .000000	 .000932	 .087366	 .155617	 .057642	 .000039	 .000535	 .020632	 .000879	 .000231	 .000797	 .049786	 .000018	 .010859	 .042068	 .572599	 .000272	608	"GaN"
"Un    2  Edi09_100nA_30um_2"	       2	       0	 .105685	 .442169	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4241	 100.000	 .000000	 .000000	 .000000	 .001489	 .086566	 .155732	 .057684	 .000039	 .000535	 .020647	 .000880	 .000232	 .000797	 .049823	 .000018	 .010867	 .042099	 .572591	 .000434	608	"GaN"
"Un    3  Edi09_100nA_30um_3"	       3	       0	 .087297	 .444227	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4405	 100.000	 .000000	 .000000	 .000000	 .001229	 .086939	 .155679	 .057664	 .000039	 .000535	 .020640	 .000880	 .000231	 .000797	 .049806	 .000018	 .010863	 .042085	 .572595	 .000359	608	"GaN"
"Un    4  Edi09_50nA_20um_146.6_180s_1"	       4	       0	 .088984	 .444037	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4390	 100.000	 .000000	 .000000	 .000000	 .001253	 .086905	 .155684	 .057666	 .000039	 .000535	 .020641	 .000880	 .000231	 .000797	 .049807	 .000018	 .010864	 .042086	 .572595	 .000365	608	"GaN"
"Un    5  Edi09_50nA_20um_146.6_180s_10"	       5	       0	 .082379	 .444776	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4448	 100.000	 .000000	 .000000	 .000000	 .001160	 .087039	 .155664	 .057659	 .000039	 .000535	 .020638	 .000880	 .000231	 .000797	 .049801	 .000018	 .010862	 .042081	 .572596	 .000338	608	"GaN"
"Un    6  Edi09_50nA_20um_146.6_180s_2"	       6	       0	 .108568	 .441846	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4216	100.0000	 .000000	 .000000	 .000000	 .001530	 .086508	 .155741	 .057688	 .000039	 .000535	 .020648	 .000880	 .000232	 .000797	 .049826	 .000018	 .010868	 .042101	 .572591	 .000446	608	"GaN"
"Un    7  Edi09_50nA_20um_146.6_180s_3"	       7	       0	 .084531	 .444536	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4429	 100.000	 .000000	 .000000	 .000000	 .001190	 .086995	 .155671	 .057661	 .000039	 .000535	 .020639	 .000880	 .000231	 .000797	 .049803	 .000018	 .010863	 .042082	 .572595	 .000347	608	"GaN"
"Un    8  Edi09_50nA_20um_146.6_180s_4"	       8	       0	 .091582	 .443747	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4367	100.0000	 .000000	 .000000	 .000000	 .001290	 .086852	 .155691	 .057669	 .000039	 .000535	 .020642	 .000880	 .000231	 .000797	 .049810	 .000018	 .010864	 .042088	 .572594	 .000376	608	"GaN"
"Un    9  Edi09_50nA_20um_146.6_180s_5"	       9	       0	 .108803	 .441820	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4214	 100.000	 .000000	 .000000	 .000000	 .001533	 .086503	 .155741	 .057688	 .000039	 .000535	 .020648	 .000880	 .000232	 .000797	 .049826	 .000018	 .010868	 .042102	 .572590	 .000447	608	"GaN"
"Un   10  Edi09_50nA_20um_146.6_180s_6"	      10	       0	 .085626	 .444414	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4420	 100.000	 .000000	 .000000	 .000000	 .001206	 .086973	 .155674	 .057663	 .000039	 .000535	 .020639	 .000880	 .000231	 .000797	 .049804	 .000018	 .010863	 .042083	 .572595	 .000352	608	"GaN"
"Un   11  Edi09_50nA_20um_146.6_180s_7"	      11	       0	 .087061	 .444252	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4407	100.0000	 .000000	 .000000	 .000000	 .001226	 .086944	 .155678	 .057664	 .000039	 .000535	 .020640	 .000880	 .000231	 .000797	 .049806	 .000018	 .010863	 .042084	 .572595	 .000358	608	"GaN"
"Un   12  Edi09_50nA_20um_146.6_180s_8"	      12	       0	 .044911	 .448969	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4781	100.0000	 .000000	 .000000	 .000000	 .000632	 .087797	 .155555	 .057619	 .000039	 .000535	 .020623	 .000879	 .000231	 .000796	 .049766	 .000018	 .010855	 .042051	 .572604	 .000184	608	"GaN"
"Un   13  Edi09_50nA_20um_146.6_180s_9"	      13	       0	 .098522	 .442970	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4305	 100.000	 .000000	 .000000	 .000000	 .001388	 .086711	 .155711	 .057677	 .000039	 .000535	 .020644	 .000880	 .000231	 .000797	 .049816	 .000018	 .010866	 .042094	 .572593	 .000405	608	"GaN"
