"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Cl WT%"	"   P WT%"	"  Fe WT%"	"  Mn WT%"	"  Cr WT%"	"   K WT%"	"  Ca WT%"	"  Ru WT%"	"  Na WT%"	"  Mg WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Cl AT%"	"   P AT%"	"  Fe AT%"	"  Mn AT%"	"  Cr AT%"	"   K AT%"	"  Ca AT%"	"  Ru AT%"	"  Na AT%"	"  Mg AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  Edi09_100nA_30um_1"	       1	       0	 .076743	 .445407	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4499	 100.000	 .000000	 .000000	 .000000	 .001081	 .087153	 .155648	 .057653	 .000039	 .000535	 .020636	 .000880	 .000231	 .000797	 .049796	 .000018	 .010861	 .042076	 .572597	 .000310	608	"GaN"
"Un    2  Edi09_100nA_30um_2"	       2	       0	 .115822	 .441035	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4152	 100.000	 .000000	 .000000	 .000000	 .001632	 .086361	 .155762	 .057695	 .000039	 .000535	 .020651	 .000880	 .000232	 .000798	 .049833	 .000018	 .010869	 .042107	 .572589	 .000468	608	"GaN"
"Un    3  Edi09_100nA_30um_3"	       3	       0	 .097748	 .443057	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4312	 100.000	 .000000	 .000000	 .000000	 .001377	 .086727	 .155709	 .057676	 .000039	 .000535	 .020644	 .000880	 .000231	 .000797	 .049816	 .000018	 .010866	 .042093	 .572593	 .000395	608	"GaN"
"Un    4  Edi09_50nA_20um_146.6_180s_1"	       4	       0	 .099422	 .442870	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4297	 100.000	 .000000	 .000000	 .000000	 .001401	 .086693	 .155714	 .057678	 .000039	 .000535	 .020645	 .000880	 .000231	 .000797	 .049817	 .000018	 .010866	 .042094	 .572592	 .000401	608	"GaN"
"Un    5  Edi09_50nA_20um_146.6_180s_10"	       5	       0	 .090333	 .443887	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4378	 100.000	 .000000	 .000000	 .000000	 .001272	 .086877	 .155688	 .057668	 .000039	 .000535	 .020641	 .000880	 .000231	 .000797	 .049809	 .000018	 .010864	 .042087	 .572594	 .000365	608	"GaN"
"Un    6  Edi09_50nA_20um_146.6_180s_2"	       6	       0	 .122532	 .440284	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4092	 100.000	 .000000	 .000000	 .000000	 .001727	 .086224	 .155782	 .057703	 .000039	 .000535	 .020654	 .000880	 .000232	 .000798	 .049839	 .000018	 .010871	 .042113	 .572588	 .000495	608	"GaN"
"Un    7  Edi09_50nA_20um_146.6_180s_3"	       7	       0	 .094977	 .443366	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4337	100.0000	 .000000	 .000000	 .000000	 .001338	 .086783	 .155701	 .057673	 .000039	 .000535	 .020643	 .000880	 .000231	 .000797	 .049813	 .000018	 .010865	 .042091	 .572593	 .000383	608	"GaN"
"Un    8  Edi09_50nA_20um_146.6_180s_4"	       8	       0	 .103118	 .442457	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4264	 100.000	 .000000	 .000000	 .000000	 .001453	 .086618	 .155725	 .057682	 .000039	 .000535	 .020646	 .000880	 .000232	 .000797	 .049821	 .000018	 .010867	 .042097	 .572592	 .000416	608	"GaN"
"Un    9  Edi09_50nA_20um_146.6_180s_5"	       9	       0	 .120716	 .440486	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4108	100.0000	 .000000	 .000000	 .000000	 .001701	 .086261	 .155776	 .057701	 .000039	 .000535	 .020653	 .000880	 .000232	 .000798	 .049837	 .000018	 .010870	 .042111	 .572588	 .000487	608	"GaN"
"Un   10  Edi09_50nA_20um_146.6_180s_6"	      10	       0	 .096817	 .443161	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4320	 100.000	 .000000	 .000000	 .000000	 .001364	 .086746	 .155706	 .057675	 .000039	 .000535	 .020644	 .000880	 .000231	 .000797	 .049815	 .000018	 .010865	 .042092	 .572593	 .000391	608	"GaN"
"Un   11  Edi09_50nA_20um_146.6_180s_7"	      11	       0	 .097802	 .443050	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4311	100.0000	 .000000	 .000000	 .000000	 .001378	 .086726	 .155709	 .057676	 .000039	 .000535	 .020644	 .000880	 .000231	 .000797	 .049816	 .000018	 .010866	 .042093	 .572593	 .000395	608	"GaN"
"Un   12  Edi09_50nA_20um_146.6_180s_8"	      12	       0	 .048037	 .448620	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4753	 100.000	 .000000	 .000000	 .000000	 .000676	 .087734	 .155564	 .057622	 .000039	 .000535	 .020625	 .000879	 .000231	 .000797	 .049769	 .000018	 .010855	 .042054	 .572603	 .000194	608	"GaN"
"Un   13  Edi09_50nA_20um_146.6_180s_9"	      13	       0	 .107999	 .441910	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4221	 100.000	 .000000	 .000000	 .000000	 .001522	 .086519	 .155739	 .057687	 .000039	 .000535	 .020648	 .000880	 .000232	 .000797	 .049825	 .000018	 .010868	 .042101	 .572591	 .000436	608	"GaN"
