"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Cl WT%"	"   P WT%"	"  Fe WT%"	"  Mn WT%"	"  Cr WT%"	"   K WT%"	"  Ca WT%"	"  Ru WT%"	"  Na WT%"	"  Mg WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Cl AT%"	"   P AT%"	"  Fe AT%"	"  Mn AT%"	"  Cr AT%"	"   K AT%"	"  Ca AT%"	"  Ru AT%"	"  Na AT%"	"  Mg AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  Edi09_100nA_30um_1"	       1	       0	 .022742	 .451450	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4978	 100.000	 .000000	 .000000	 .000000	 .000320	 .088246	 .155490	 .057595	 .000039	 .000534	 .020615	 .000879	 .000231	 .000796	 .049746	 .000018	 .010850	 .042034	 .572608	 .000093	608	"GaN"
"Un    2  Edi09_100nA_30um_2"	       2	       0	 .021154	 .451628	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4992	 100.000	 .000000	 .000000	 .000000	 .000298	 .088278	 .155486	 .057593	 .000039	 .000534	 .020614	 .000879	 .000231	 .000796	 .049744	 .000018	 .010850	 .042032	 .572608	 .000087	608	"GaN"
"Un    3  Edi09_100nA_30um_3"	       3	       0	 .024690	 .451233	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4961	 100.000	 .000000	 .000000	 .000000	 .000347	 .088207	 .155496	 .057597	 .000039	 .000534	 .020616	 .000879	 .000231	 .000796	 .049747	 .000018	 .010851	 .042035	 .572608	 .000101	608	"GaN"
"Un    4  Edi09_50nA_20um_146.6_180s_1"	       4	       0	 .025778	 .451110	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4951	 100.000	 .000000	 .000000	 .000000	 .000363	 .088184	 .155499	 .057598	 .000039	 .000534	 .020616	 .000879	 .000231	 .000796	 .049748	 .000018	 .010851	 .042036	 .572607	 .000106	608	"GaN"
"Un    5  Edi09_50nA_20um_146.6_180s_10"	       5	       0	 .024670	 .451234	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4961	 100.000	 .000000	 .000000	 .000000	 .000347	 .088207	 .155496	 .057597	 .000039	 .000534	 .020616	 .000879	 .000231	 .000796	 .049747	 .000018	 .010851	 .042035	 .572608	 .000101	608	"GaN"
"Un    6  Edi09_50nA_20um_146.6_180s_2"	       6	       0	 .020459	 .451705	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4998	100.0000	 .000000	 .000000	 .000000	 .000288	 .088292	 .155484	 .057592	 .000039	 .000534	 .020614	 .000879	 .000231	 .000796	 .049744	 .000018	 .010850	 .042032	 .572609	 .000084	608	"GaN"
"Un    7  Edi09_50nA_20um_146.6_180s_3"	       7	       0	 .027776	 .450887	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4933	 100.000	 .000000	 .000000	 .000000	 .000391	 .088144	 .155505	 .057600	 .000039	 .000534	 .020617	 .000879	 .000231	 .000796	 .049750	 .000018	 .010851	 .042038	 .572607	 .000114	608	"GaN"
"Un    8  Edi09_50nA_20um_146.6_180s_4"	       8	       0	 .025821	 .451106	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4951	 100.000	 .000000	 .000000	 .000000	 .000363	 .088184	 .155499	 .057598	 .000039	 .000534	 .020616	 .000879	 .000231	 .000796	 .049748	 .000018	 .010851	 .042036	 .572607	 .000106	608	"GaN"
"Un    9  Edi09_50nA_20um_146.6_180s_5"	       9	       0	 .026686	 .451009	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4943	 100.000	 .000000	 .000000	 .000000	 .000375	 .088166	 .155502	 .057599	 .000039	 .000534	 .020616	 .000879	 .000231	 .000796	 .049749	 .000018	 .010851	 .042037	 .572607	 .000110	608	"GaN"
"Un   10  Edi09_50nA_20um_146.6_180s_6"	      10	       0	 .023809	 .451330	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4969	100.0000	 .000000	 .000000	 .000000	 .000335	 .088224	 .155493	 .057596	 .000039	 .000534	 .020615	 .000879	 .000231	 .000796	 .049747	 .000018	 .010850	 .042035	 .572608	 .000098	608	"GaN"
