"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Cl WT%"	"   P WT%"	"  Fe WT%"	"  Mn WT%"	"  Cr WT%"	"   K WT%"	"  Ca WT%"	"  Ru WT%"	"  Na WT%"	"  Mg WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Cl AT%"	"   P AT%"	"  Fe AT%"	"  Mn AT%"	"  Cr AT%"	"   K AT%"	"  Ca AT%"	"  Ru AT%"	"  Na AT%"	"  Mg AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  Edi09_100nA_30um_1"	       1	       0	 .027400	 .450929	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4937	100.0000	 .000000	 .000000	 .000000	 .000385	 .088152	 .155504	 .057600	 .000039	 .000534	 .020617	 .000879	 .000231	 .000796	 .049750	 .000018	 .010851	 .042037	 .572607	 .000113	608	"GaN"
"Un    2  Edi09_100nA_30um_2"	       2	       0	 .025487	 .451143	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4954	 100.000	 .000000	 .000000	 .000000	 .000359	 .088190	 .155498	 .057598	 .000039	 .000534	 .020616	 .000879	 .000231	 .000796	 .049748	 .000018	 .010851	 .042036	 .572608	 .000105	608	"GaN"
"Un    3  Edi09_100nA_30um_3"	       3	       0	 .029747	 .450666	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4916	100.0000	 .000000	 .000000	 .000000	 .000418	 .088104	 .155511	 .057602	 .000039	 .000534	 .020618	 .000879	 .000231	 .000796	 .049752	 .000018	 .010852	 .042039	 .572607	 .000122	608	"GaN"
"Un    4  Edi09_50nA_20um_146.6_180s_1"	       4	       0	 .031057	 .450519	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4904	100.0000	 .000000	 .000000	 .000000	 .000437	 .088078	 .155515	 .057604	 .000039	 .000534	 .020618	 .000879	 .000231	 .000796	 .049753	 .000018	 .010852	 .042040	 .572606	 .000128	608	"GaN"
"Un    5  Edi09_50nA_20um_146.6_180s_10"	       5	       0	 .029723	 .450669	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4916	100.0000	 .000000	 .000000	 .000000	 .000418	 .088105	 .155511	 .057602	 .000039	 .000534	 .020618	 .000879	 .000231	 .000796	 .049752	 .000018	 .010852	 .042039	 .572607	 .000122	608	"GaN"
"Un    6  Edi09_50nA_20um_146.6_180s_2"	       6	       0	 .024650	 .451237	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4961	 100.000	 .000000	 .000000	 .000000	 .000347	 .088207	 .155496	 .057597	 .000039	 .000534	 .020616	 .000879	 .000231	 .000796	 .049747	 .000018	 .010851	 .042035	 .572608	 .000101	608	"GaN"
"Un    7  Edi09_50nA_20um_146.6_180s_3"	       7	       0	 .033465	 .450250	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4883	100.0000	 .000000	 .000000	 .000000	 .000471	 .088029	 .155522	 .057606	 .000039	 .000534	 .020619	 .000879	 .000231	 .000796	 .049756	 .000018	 .010852	 .042042	 .572606	 .000137	608	"GaN"
"Un    8  Edi09_50nA_20um_146.6_180s_4"	       8	       0	 .031109	 .450514	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4904	 100.000	 .000000	 .000000	 .000000	 .000438	 .088077	 .155515	 .057604	 .000039	 .000534	 .020618	 .000879	 .000231	 .000796	 .049753	 .000018	 .010852	 .042040	 .572606	 .000128	608	"GaN"
"Un    9  Edi09_50nA_20um_146.6_180s_5"	       9	       0	 .032152	 .450398	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4895	 100.000	 .000000	 .000000	 .000000	 .000452	 .088056	 .155518	 .057605	 .000039	 .000534	 .020619	 .000879	 .000231	 .000796	 .049754	 .000018	 .010852	 .042041	 .572606	 .000132	608	"GaN"
"Un   10  Edi09_50nA_20um_146.6_180s_6"	      10	       0	 .028685	 .450785	 22.1640	 7.88700	 .007000	 .084000	 5.84300	 .245000	 .061000	 .158000	 10.1190	 .009000	 1.26600	 5.18500	 46.4925	100.0000	 .000000	 .000000	 .000000	 .000404	 .088126	 .155508	 .057601	 .000039	 .000534	 .020617	 .000879	 .000231	 .000796	 .049751	 .000018	 .010851	 .042038	 .572607	 .000118	608	"GaN"
