,L,counts,cps,cps_per_nA,baseline,cps_per_nA_corrected,fit
0,125.0,76.0,126.66666666666669,1.2654012654012654,1.1032914682278092,0.1621097971734562,2.4133441833483697e-05
1,125.02,70.0,116.66666666666669,1.1655011655011656,1.103015340996989,0.06248582450417661,2.4657031027908732e-05
2,125.04,61.0,101.66666666666669,1.0156510156510157,1.1027392137661685,-0.08708819811515278,2.5191487160180932e-05
3,125.06,73.0,121.66666666666669,1.2154512154512154,1.1024630865353482,0.11298812891586718,2.573702464831789e-05
4,125.08,76.0,126.66666666666669,1.2654012654012654,1.102186959304528,0.16321430609673748,2.6293861898699855e-05
5,125.1,70.0,116.66666666666669,1.1655011655011656,1.1019108320737077,0.0635903334274579,2.6862221375169604e-05
6,125.12,61.0,101.66666666666669,1.0156510156510157,1.1016347048428872,-0.08598368919187149,2.7442329669229973e-05
7,125.14,70.0,116.66666666666669,1.1655011655011656,1.101358577612067,0.06414258788909866,2.8034417571348223e-05
8,125.16,79.0,131.66666666666669,1.3153513153513154,1.1010824503812466,0.2142688649700688,2.8638720143391113e-05
9,125.18,72.0,120.0,1.1988011988011986,1.1008063231504261,0.09799487565077247,2.9255476792196748e-05
10,125.2,59.0,98.33333333333334,0.9823509823509824,1.100530195919606,-0.11817921356862371,2.9884931344304243e-05
11,125.22,64.0,106.66666666666669,1.0656010656010655,1.1002540686887858,-0.03465300308772035,3.0527332121860146e-05
12,125.24,58.0,96.66666666666669,0.9657009657009656,1.0999779414579656,-0.13427697575699993,3.11829320197107e-05
13,125.26,61.0,101.66666666666669,1.0156510156510157,1.099701814227145,-0.0840507985761294,3.185198858370213e-05
14,125.28,69.0,115.0,1.1488511488511488,1.0994256869963248,0.04942546185482399,3.253476409020118e-05
15,125.3,70.0,116.66666666666669,1.1655011655011656,1.0991495597655045,0.06635160573566101,3.3231525626860316e-05
16,125.32,58.0,96.66666666666669,0.9657009657009656,1.0988734325346843,-0.13317246683371864,3.3942545174633764e-05
17,125.34,64.0,106.66666666666669,1.0656010656010655,1.0985973053038638,-0.0329962397027983,3.466809969107111e-05
18,125.36,71.0,118.33333333333334,1.182151182151182,1.0983211780730435,0.08383000407813856,3.540847119489835e-05
19,125.38,51.0,85.0,0.849150849150849,1.0980450508422233,-0.24889420169137422,3.616394685191338e-05
20,125.4,60.0,100.0,0.9990009990009988,1.097768923611403,-0.09876792461040418,3.693481906220297e-05
21,125.42,78.0,130.0,1.2987012987012987,1.0974927963805827,0.20120850232071597,3.7721385548704406e-05
22,125.44,67.0,111.66666666666669,1.1155511155511155,1.0972166691497625,0.018334446401353066,3.852394944713453e-05
23,125.46,60.0,100.0,0.9990009990009988,1.0969405419189422,-0.09793954291794338,3.934281939729473e-05
24,125.48,58.0,96.66666666666669,0.9657009657009656,1.0966644146881217,-0.13096344898715606,4.017830963577851e-05
25,125.5,63.0,105.0,1.048951048951049,1.0963882874573014,-0.04743723850625248,4.103074009009446e-05
26,125.52,65.0,108.33333333333334,1.0822510822510822,1.0961121602264812,-0.013861077975398928,4.190043647423244e-05
27,125.54,78.0,130.0,1.2987012987012987,1.0958360329956607,0.202865265705638,4.2787730385680975e-05
28,125.56,66.0,110.0,1.0989010989010988,1.0955599057648404,0.003341193136258358,4.3692959403920554e-05
29,125.58,80.0,133.33333333333334,1.332001332001332,1.0952837785340201,0.23671755346731183,4.461646719041864e-05
30,125.6,49.0,81.66666666666667,0.8158508158508159,1.0950076513031999,-0.279156835452384,4.555860359013324e-05
31,125.62,62.0,103.33333333333334,1.0323010323010322,1.0947315240723796,-0.06243049177134741,4.651972473455633e-05
32,125.64,65.0,108.33333333333334,1.0822510822510822,1.0944553968415593,-0.012204314590477106,4.7500193146308804e-05
33,125.66,60.0,100.0,0.9990009990009988,1.094179269610739,-0.09517827060974027,4.850037784531855e-05
34,125.68,54.0,90.0,0.8991008991008991,1.0939031423799186,-0.19480224327901952,4.9520654456588756e-05
35,125.7,65.0,108.33333333333334,1.0822510822510822,1.0936270151490983,-0.011375932898016083,5.056140531958446e-05
36,125.72,77.0,128.33333333333334,1.282051282051282,1.093350887918278,0.18870039413300388,5.162301959926424e-05
37,125.74,71.0,118.33333333333334,1.182151182151182,1.0930747606874578,0.0890764214637243,5.270589339876432e-05
38,125.76,72.0,120.0,1.1988011988011986,1.0927986334566373,0.10600256534456132,5.3810429873769415e-05
39,125.78,78.0,130.0,1.2987012987012987,1.092522506225817,0.20617879247548165,5.493703934858209e-05
40,125.8,56.0,93.33333333333334,0.9324009324009324,1.0922463789949968,-0.1598454465940644,5.6086139433925145e-05
41,125.82,56.0,93.33333333333334,0.9324009324009324,1.0919702517641765,-0.15956931936324414,5.7258155146484025e-05
42,125.84,77.0,128.33333333333334,1.282051282051282,1.0916941245333562,0.1903571575179257,5.845351903022383e-05
43,125.86,66.0,110.0,1.0989010989010988,1.091417997302536,0.0074831015985628024,5.967267127949405e-05
44,125.88,69.0,115.0,1.1488511488511488,1.0911418700717157,0.057709278779433104,6.0916059863957146e-05
45,125.9,77.0,128.33333333333334,1.282051282051282,1.0908657428408952,0.19118553921038672,6.218414065534791e-05
46,125.92,65.0,108.33333333333334,1.0822510822510822,1.090589615610075,-0.008338533358992706,6.347737755609539e-05
47,125.94,63.0,105.0,1.048951048951049,1.0903134883792547,-0.04136243942820572,6.479624262983717e-05
48,125.96,67.0,111.66666666666669,1.1155511155511155,1.0900373611484344,0.02551375440268111,6.614121623383494e-05
49,125.98,64.0,106.66666666666669,1.0656010656010655,1.089761233917614,-0.024160168316548436,6.751278715332788e-05
50,126.0,58.0,96.66666666666669,0.9657009657009656,1.0894851066867937,-0.12378414098582802,6.891145273783846e-05
51,126.02,59.0,98.33333333333334,0.9823509823509824,1.0892089794559734,-0.106857997104991,7.033771903946984e-05
52,126.04,69.0,115.0,1.1488511488511488,1.0889328522251531,0.05991829662599568,7.179210095320088e-05
53,126.06,72.0,120.0,1.1988011988011986,1.0886567249943329,0.11014447380686576,7.32751223592123e-05
54,126.08,61.0,101.66666666666669,1.0156510156510157,1.0883805977635126,-0.07272958211249692,7.478731626728003e-05
55,126.1,67.0,111.66666666666669,1.1155511155511155,1.0881044705326923,0.0274466450184232,7.632922496323892e-05
56,126.12,66.0,110.0,1.0989010989010988,1.0878283433018718,0.011072755599226936,7.790140015756173e-05
57,126.14,75.0,125.0,1.2487512487512489,1.0875522160710516,0.1611990326801973,7.950440313606471e-05
58,126.16,63.0,105.0,1.048951048951049,1.0872760888402313,-0.038325039889182344,8.11388049127846e-05
59,126.18,64.0,106.66666666666669,1.0656010656010655,1.0869999616094108,-0.021398896008345325,8.280518638503096e-05
60,126.2,64.0,106.66666666666669,1.0656010656010655,1.0867238343785905,-0.02112276877752506,8.45041384906521e-05
61,126.22,61.0,101.66666666666669,1.0156510156510157,1.0864477071477703,-0.0707966914967546,8.623626236755047e-05
62,126.24,58.0,96.66666666666669,0.9657009657009656,1.08617157991695,-0.12047061421598437,8.800216951545415e-05
63,126.26,86.0,143.33333333333334,1.4319014319014318,1.0858954526861297,0.3460059792153021,8.980248195998789e-05
64,126.28,67.0,111.66666666666669,1.1155511155511155,1.0856193254553095,0.029931790095806043,9.163783241906001e-05
65,126.3,63.0,105.0,1.048951048951049,1.0853431982244892,-0.036392149273440255,9.350886447160975e-05
66,126.32,65.0,108.33333333333334,1.0822510822510822,1.085067070993669,-0.002815988742586706,9.541623272872229e-05
67,126.34,57.0,95.0,0.949050949050949,1.0847909437628485,-0.13573999471189946,9.736060300715322e-05
68,126.36,69.0,115.0,1.1488511488511488,1.0845148165320282,0.06433633231912061,9.934265250528338e-05
69,126.38,62.0,103.33333333333334,1.0323010323010322,1.084238689301208,-0.05193765700017572,0.00010136306998154809
70,126.4,63.0,105.0,1.048951048951049,1.0839625620703874,-0.03501151311933848,0.00010342255593534675
71,126.42,53.0,88.33333333333334,0.8824508824508824,1.0836864348395672,-0.20123555238868474,0.00010552182279047499
72,126.44,64.0,106.66666666666669,1.0656010656010655,1.083410307608747,-0.017809242007681414,0.00010766159508111921
73,126.46,74.0,123.33333333333334,1.232101232101232,1.0831341803779269,0.14896705172330504,0.00010984260964041867
74,126.48,62.0,103.33333333333334,1.0323010323010322,1.0828580531471064,-0.05055702084607416,0.00011206561579164713
75,126.5,66.0,110.0,1.0989010989010988,1.082581925916286,0.01631917298481267,0.0001143313755420254
76,126.52,65.0,108.33333333333334,1.0822510822510822,1.0823057986854658,-5.471643438359486e-05,0.00011664066377922375
77,126.54,74.0,123.33333333333334,1.232101232101232,1.0820296714546453,0.15007156064658655,0.00011899426847054971
78,126.56,79.0,131.66666666666669,1.3153513153513154,1.081753544223825,0.23359777112749036,0.00012139299086487118
79,126.58,64.0,106.66666666666669,1.0656010656010655,1.0814774169930048,-0.015876351391939325,0.00012383764569731938
