,L,counts,cps,cps_per_nA,baseline,cps_per_nA_corrected,fit
0,125.0,197.0,328.33333333333337,3.2833333333333337,3.0900443990139665,0.1932889343193671,3.543562388327157e-10
1,125.02,222.0,370.0,3.7,3.089026147440464,0.6109738525595363,3.7041086477755624e-10
2,125.04,223.0,371.6666666666667,3.716666666666667,3.0880078958669603,0.6286587707997064,3.8717673990680265e-10
3,125.06,207.0,345.0,3.45,3.0869896442934577,0.3630103557065425,4.0468462900848377e-10
4,125.08,202.0,336.6666666666667,3.3666666666666667,3.085971392719954,0.28069527394671256,4.2296659387945034e-10
5,125.1,210.0,350.0,3.5,3.0849531411464515,0.41504685885354853,4.420560465122625e-10
6,125.12,204.0,340.0,3.4,3.083934889572949,0.3160651104270511,4.619878043985137e-10
7,125.14,189.0,315.0,3.15,3.0829166379994453,0.06708336200055465,4.827981480298995e-10
8,125.16,204.0,340.0,3.4,3.0818983864259426,0.3181016135740573,5.045248806817504e-10
9,125.18,197.0,328.33333333333337,3.2833333333333337,3.08088013485244,0.20245319848089371,5.272073905664007e-10
10,125.2,201.0,335.0,3.35,3.0798618832789364,0.2701381167210637,5.508867154473616e-10
11,125.22,208.0,346.6666666666667,3.466666666666667,3.0788436317054337,0.38782303496123305,5.756056098087207e-10
12,125.24,202.0,336.6666666666667,3.3666666666666667,3.077825380131931,0.2888412865347356,6.014086146771233e-10
13,125.26,217.0,361.6666666666667,3.6166666666666663,3.0768071285584275,0.5398595381082387,6.2834213019792e-10
14,125.28,199.0,331.6666666666667,3.316666666666667,3.075788876984925,0.240877789681742,6.564544910703199e-10
15,125.3,236.0,393.33333333333337,3.9333333333333336,3.074770625411422,0.8585627079219114,6.857960449507102e-10
16,125.32,206.0,343.33333333333337,3.4333333333333336,3.0737523738379195,0.359580959495414,7.164192339366595e-10
17,125.34,216.0,360.0,3.6,3.072734122264416,0.5272658777355841,7.483786792489436e-10
18,125.36,183.0,305.0,3.05,3.0717158706909133,-0.02171587069091352,7.817312692326315e-10
19,125.38,204.0,340.0,3.4,3.0706976191174107,0.32930238088258923,8.165362508033029e-10
20,125.4,200.0,333.33333333333337,3.333333333333334,3.069679367543907,0.2636539657894268,8.528553244683317e-10
21,125.42,211.0,351.6666666666667,3.516666666666667,3.0686611159704045,0.4480055506962626,8.907527430584166e-10
22,125.44,191.0,318.33333333333337,3.1833333333333336,3.067642864396902,0.11569046893643176,9.302954143096178e-10
23,125.46,185.0,308.33333333333337,3.083333333333334,3.066624612823399,0.01670872050993477,9.715530074404689e-10
24,125.48,199.0,331.6666666666667,3.316666666666667,3.0656063612498956,0.25106030541677127,1.0145980638748275e-09
25,125.5,198.0,330.0,3.3,3.064588109676393,0.23541189032360688,1.059506112265939e-09
26,125.52,204.0,340.0,3.4,3.0635698581028903,0.3364301418971096,1.1063557879835388e-09
27,125.54,178.0,296.6666666666667,2.966666666666667,3.0625516065293867,-0.09588493986271995,1.1552289572306364e-09
28,125.56,205.0,341.6666666666667,3.416666666666667,3.061533354955884,0.3551333117107829,1.2062108459634142e-09
29,125.58,212.0,353.33333333333337,3.5333333333333337,3.0605151033823814,0.47281822995095224,1.2593901737940724e-09
30,125.6,193.0,321.6666666666667,3.216666666666667,3.0594968518088788,0.15716981485778803,1.3148592930618813e-09
31,125.62,222.0,370.0,3.7,3.058478600235375,0.641521399764625,1.3727143332654507e-09
32,125.64,194.0,323.33333333333337,3.233333333333334,3.0574603486618726,0.17587298467146129,1.4330553510554463e-09
33,125.66,194.0,323.33333333333337,3.233333333333334,3.05644209708837,0.17689123624496395,1.4959864859947245e-09
