,L,cps,cps_per_nA,cps_per_nA_stdev,baseline,cps_per_nA_corrected,fit
0,125.0,231.8,4.640466278690374,0.294035053970782,4.544122390116172,0.09634388857420184,4.674808552133325e-12
1,125.1,225.0666666666667,4.505681616353913,0.3000204124288155,4.50081418046766,0.0048674358862532685,6.040935653346297e-12
2,125.2,223.2,4.468303737266693,0.3629605054801518,4.4580002269255505,0.010303510341142186,7.796236038085e-12
3,125.3,219.13333333333333,4.386850186807987,0.3511282235375568,4.4156769606552055,-0.028826773847218767,1.0048613413439473e-11
4,125.4,220.73333333333332,4.418847492359626,0.3497600645455299,4.373840699690912,0.045006792668714546,1.2935037360344067e-11
5,125.5,212.6,4.256079663204736,0.3838602576778522,4.332487657670371,-0.07640799446563484,1.662913373463311e-11
6,125.6,214.0666666666667,4.285433805897388,0.3454295804844208,4.291613952187862,-0.006180146290473587,2.1350691935604433e-11
7,125.7,215.9333333333333,4.322777565898399,0.2681117621809419,4.251215612777521,0.07156195312087732,2.737755576072348e-11
8,125.8,213.66666666666669,4.277406566708951,0.2335937461295873,4.211288588537991,0.06611797817095955,3.5060473720010764e-11
9,125.9,203.66666666666669,4.077234349403345,0.4273366891826526,4.17182875540956,-0.09459440600621516,4.484161824619948e-11
10,126.0,208.0666666666667,4.165277862992092,0.2275713347976359,4.132831923115159,0.03244593987693278,5.7277646393154964e-11
11,126.1,211.66666666666669,4.237384989343047,0.3776032886924779,4.094293841776057,0.14309114756698982,7.306837359035907e-11
12,126.2,206.7333333333333,4.138637649071438,0.3429247522873189,4.05621020821334,0.08242744085809761,9.309237427243283e-11
13,126.3,210.06666666666663,4.205396160681159,0.3465316520115351,4.018576671945904,0.18681948873525567,1.1845111764611735e-10
14,126.4,206.3333333333333,4.130585543650671,0.3372338423201159,3.9813888408955376,0.14919670275513353,1.5052360413272328e-10
15,126.5,209.3333333333333,4.190640003986919,0.3837846815344073,3.944642286809666,0.24599771717725316,1.91033900803679e-10
16,126.6,204.4,4.091933060169255,0.2662068323006904,3.9083325504118323,0.18360050975742315,2.4213449747337393e-10
17,126.7,208.66666666666663,4.177360632106222,0.2924907966704577,3.8724551462901253,0.30490548581609644,3.065090368941768e-10
18,126.8,209.4666666666667,4.193327009799331,0.3716899620839886,3.8370055675333172,0.3563214422660139,3.8749873386717445e-10
19,126.9,204.8,4.09994431381343,0.3481119671897706,3.8019792901242666,0.29796502368916356,4.892577140301012e-10
20,127.0,197.33333333333337,3.950454493115653,0.2959342051208645,3.767371777100111,0.1830827160155417,6.169436030758939e-10
21,127.1,205.8,4.119952822358512,0.3208047597343001,3.733178482488233,0.38677433987027854,7.769510158609401e-10
22,127.2,202.06666666666663,4.0451429898824784,0.3799514742208363,3.699394855027054,0.34574813485542455,9.771971729823802e-10
23,127.3,200.4,4.011760800729163,0.3293356017857728,3.666016341680243,0.3457444590489196,1.227470757628299e-09
24,127.4,199.9333333333333,4.002482763934854,0.3756383320252459,3.6330383909527666,0.3694443729820871,1.5398573735815756e-09
25,127.5,202.86666666666667,4.0611923894681095,0.3063281109470223,3.6004564560170396,0.4607359334510699,1.9292576412175824e-09
26,127.6,190.9333333333333,3.822312147147734,0.2427227446054013,3.568265997657006,0.254046149490728,2.4140171478734773e-09
