,L,counts,cps,cps_per_nA,baseline,cps_per_nA_corrected,fit
0,125.0,76.0,126.66666666666669,1.264138389886893,0.9775641545614513,0.2865742353254417,4.373851031676706e-15
1,125.02,69.0,115.0,1.1477045908183632,0.9772238208377271,0.1704807699806361,4.6298175833800785e-15
2,125.04,67.0,111.66666666666669,1.1144377910844976,0.9768834871140029,0.13755430397049473,4.900529982199488e-15
3,125.06,71.0,118.33333333333334,1.180971390552229,0.9765431533902786,0.20442823716195035,5.18682385178161e-15
4,125.08,81.0,135.0,1.3473053892215567,0.9762028196665544,0.3711025695550023,5.48958135938192e-15
5,125.1,76.0,126.66666666666669,1.264138389886893,0.9758624859428306,0.28827590394406233,5.809733761711323e-15
6,125.12,71.0,118.33333333333334,1.180971390552229,0.975522152219106,0.205449238333123,6.148264087397935e-15
7,125.14,78.0,130.0,1.2974051896207583,0.9751818184953818,0.3222233711253766,6.5062099632454e-15
8,125.16,77.0,128.33333333333334,1.2807717897538258,0.974841484771658,0.3059303049821678,6.884666591846025e-15
9,125.18,80.0,133.33333333333334,1.3306719893546242,0.9745011510479333,0.35617083830669083,7.284789888484547e-15
10,125.2,70.0,116.66666666666669,1.1643379906852962,0.9741608173242096,0.19017717336108664,7.707799785686172e-15
11,125.22,71.0,118.33333333333334,1.180971390552229,0.9738204836004853,0.20715090695174365,8.154983714188096e-15
12,125.24,90.0,150.0,1.497005988023952,0.9734801498767611,0.5235258381471908,8.627700269558102e-15
13,125.26,58.0,96.66666666666669,0.9647371922821024,0.9731398161530369,-0.00840262387093449,9.127383074164325e-15
14,125.28,71.0,118.33333333333334,1.180971390552229,0.9727994824293127,0.2081719081229163,9.655544844688457e-15
15,125.3,71.0,118.33333333333334,1.180971390552229,0.9724591487055885,0.20851224184664052,1.0213781675905024e-14
16,125.32,61.0,101.66666666666669,1.0146373918829008,0.9721188149818643,0.04251857690103655,1.0803777551982048e-14
17,125.34,69.0,115.0,1.1477045908183632,0.97177848125814,0.17592610956022314,1.1427309097147447e-14
18,125.36,65.0,108.33333333333334,1.0811709913506322,0.9714381475344158,0.1097328438162164,1.2086250578153864e-14
19,125.38,63.0,105.0,1.0479041916167664,0.971097813810692,0.07680637780607436,1.2782579171622661e-14
20,125.4,54.0,90.0,0.8982035928143712,0.9707574800869674,-0.07255388727259615,1.3518380509994019e-14
21,125.42,66.0,110.0,1.0978043912175648,0.9704171463632436,0.12738724485432118,1.429585452051734e-14
22,125.44,73.0,121.66666666666669,1.2142381902860946,0.9700768126395194,0.2441613776465752,1.51173215724532e-14
23,125.46,56.0,93.33333333333334,0.9314703925482368,0.9697364789157952,-0.03826608636755835,1.5985228948405676e-14
24,125.48,66.0,110.0,1.0978043912175648,0.969396145192071,0.12840824602549383,1.6902157656529932e-14
25,125.5,77.0,128.33333333333334,1.2807717897538258,0.9690558114683467,0.31171597828547903,1.7870829601190315e-14
26,125.52,60.0,100.0,0.998003992015968,0.9687154777446225,0.02928851427134549,1.8894115130545107e-14
27,125.54,71.0,118.33333333333334,1.180971390552229,0.9683751440208983,0.2125962465313307,1.9975040980444656e-14
28,125.56,65.0,108.33333333333334,1.0811709913506322,0.9680348102971741,0.11313618105345813,2.1116798635023498e-14
29,125.58,57.0,95.0,0.9481037924151696,0.9676944765734499,-0.019590684158280247,2.2322753125387888e-14
30,125.6,72.0,120.0,1.1976047904191616,0.9673541428497261,0.23025064756943547,2.3596452288862388e-14
31,125.62,69.0,115.0,1.1477045908183632,0.9670138091260014,0.18069078169236175,2.494163651240015e-14
32,125.64,58.0,96.66666666666669,0.9647371922821024,0.9666734754022772,-0.0019362831201747976,2.6362248984935063e-14
33,125.66,89.0,148.33333333333334,1.480372588157019,0.9663331416785534,0.5140394464784657,2.786244648470488e-14
34,125.68,63.0,105.0,1.0479041916167664,0.9659928079548288,0.08191138366193762,2.9446610728852826e-14
35,125.7,76.0,126.66666666666669,1.264138389886893,0.965652474231105,0.29848591565578797,3.111936031399887e-14
36,125.72,73.0,121.66666666666669,1.2142381902860946,0.9653121405073808,0.2489260497787138,3.288556327790646e-14
37,125.74,59.0,98.33333333333334,0.9813705921490352,0.9649718067836566,0.016398785365378643,3.4750350313839366e-14
38,125.76,73.0,121.66666666666669,1.2142381902860946,0.9646314730599324,0.24960671722616223,3.671912867080991e-14
39,125.78,70.0,116.66666666666669,1.1643379906852962,0.9642911393362081,0.20004685134908806,3.879759677454596e-14
40,125.8,76.0,126.66666666666669,1.264138389886893,0.9639508056124839,0.30018758427440906,4.0991759605756914e-14
41,125.82,69.0,115.0,1.1477045908183632,0.9636104718887597,0.18409411892960348,4.3307944874053685e-14
42,125.84,74.0,123.33333333333334,1.2308715901530274,0.9632701381650355,0.2676014519879919,4.575282002781627e-14
43,125.86,73.0,121.66666666666669,1.2142381902860946,0.9629298044413113,0.2513083858447833,4.833341014226648e-14
44,125.88,66.0,110.0,1.0978043912175648,0.9625894707175875,0.1352149204999773,5.10571167301232e-14
45,125.9,70.0,116.66666666666669,1.1643379906852962,0.9622491369938628,0.20208885369143337,5.393173752135672e-14
46,125.92,63.0,105.0,1.0479041916167664,0.9619088032701391,0.08599538834662734,5.696548726089461e-14
47,125.94,83.0,138.33333333333334,1.3805721889554226,0.9615684695464148,0.4190037194090077,6.016701957553922e-14
48,125.96,72.0,120.0,1.1976047904191616,0.9612281358226906,0.23637665459647095,6.354544996382337e-14
49,125.98,48.0,80.0,0.7984031936127745,0.9608878020989664,-0.16248460848619195,6.711037996523764e-14
50,126.0,59.0,98.33333333333334,0.9813705921490352,0.9605474683752422,0.02082312377379303,7.087192256796679e-14
