2,13,10,40,"B989_50nA_20um_146.4_spot-1"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.07181588128057886,0
"h","",2,1,"","",0,0
"Si","",1,2,"",31.738831108958586,0,0
"Ti","",1,2,"",0.13185543749640022,0,0
"Al","",2,3,"",7.187224413315503,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15075897420629011,0,0
"Ca","",1,1,"",0.786159843359357,0,0
"Na","",2,1,"",4.451144856623879,0,0
"K","",2,1,"",1.9923546647416026,0,0
"P","",2,5,"",0.026185239610726222,0,0
"o","",1,0,"","",0,0
2,13,10,40,"B989_50nA_20um_146.4_spot-2"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.06963194029200367,0
"h","",2,1,"","",0,0
"Si","",1,2,"",31.738831108958586,0,0
"Ti","",1,2,"",0.13185543749640022,0,0
"Al","",2,3,"",7.187224413315503,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15075897420629011,0,0
"Ca","",1,1,"",0.786159843359357,0,0
"Na","",2,1,"",4.451144856623879,0,0
"K","",2,1,"",1.9923546647416026,0,0
"P","",2,5,"",0.026185239610726222,0,0
"o","",1,0,"","",0,0
2,13,10,40,"B989_50nA_20um_146.4_spot-3"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.07053931213404636,0
"h","",2,1,"","",0,0
"Si","",1,2,"",31.738831108958586,0,0
"Ti","",1,2,"",0.13185543749640022,0,0
"Al","",2,3,"",7.187224413315503,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15075897420629011,0,0
"Ca","",1,1,"",0.786159843359357,0,0
"Na","",2,1,"",4.451144856623879,0,0
"K","",2,1,"",1.9923546647416026,0,0
"P","",2,5,"",0.026185239610726222,0,0
"o","",1,0,"","",0,0
2,13,10,40,"B989_50nA_20um_146.4_spot-4"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.07236268307085904,0
"h","",2,1,"","",0,0
"Si","",1,2,"",31.738831108958586,0,0
"Ti","",1,2,"",0.13185543749640022,0,0
"Al","",2,3,"",7.187224413315503,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15075897420629011,0,0
"Ca","",1,1,"",0.786159843359357,0,0
"Na","",2,1,"",4.451144856623879,0,0
"K","",2,1,"",1.9923546647416026,0,0
"P","",2,5,"",0.026185239610726222,0,0
"o","",1,0,"","",0,0
2,13,10,40,"B989_50nA_20um_146.4_spot-5"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.07167091919347092,0
"h","",2,1,"","",0,0
"Si","",1,2,"",31.738831108958586,0,0
"Ti","",1,2,"",0.13185543749640022,0,0
"Al","",2,3,"",7.187224413315503,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15075897420629011,0,0
"Ca","",1,1,"",0.786159843359357,0,0
"Na","",2,1,"",4.451144856623879,0,0
"K","",2,1,"",1.9923546647416026,0,0
"P","",2,5,"",0.026185239610726222,0,0
"o","",1,0,"","",0,0
2,13,10,40,"B989_50nA_20um_146.4_spot-6"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.07420221283981712,0
"h","",2,1,"","",0,0
"Si","",1,2,"",31.738831108958586,0,0
"Ti","",1,2,"",0.13185543749640022,0,0
"Al","",2,3,"",7.187224413315503,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15075897420629011,0,0
"Ca","",1,1,"",0.786159843359357,0,0
"Na","",2,1,"",4.451144856623879,0,0
"K","",2,1,"",1.9923546647416026,0,0
"P","",2,5,"",0.026185239610726222,0,0
"o","",1,0,"","",0,0
