,mean,se,stdev,time,Time
0,20.4,1.5999999999999999,3.2,0.0,0.0
1,21.6,2.315167380558045,4.63033476111609,1.93,1.93
2,19.6,0.6782329983125267,1.3564659966250536,3.86,3.86
3,20.0,0.8366600265340755,1.6733200530681511,5.79,5.79
4,19.4,2.6758176320519302,5.3516352641038605,7.72,7.72
5,21.2,0.6633249580710798,1.3266499161421599,9.65,9.65
6,21.8,1.1135528725660042,2.2271057451320084,11.58,11.58
7,22.6,1.9646882704388497,3.9293765408777,13.51,13.51
8,22.0,1.51657508881031,3.03315017762062,15.44,15.44
9,22.6,2.2494443758403984,4.498888751680797,17.37,17.37
10,20.0,1.7320508075688772,3.4641016151377544,19.3,19.3
11,19.4,1.2083045973594573,2.4166091947189146,21.23,21.23
12,24.0,1.51657508881031,3.03315017762062,23.16,23.16
13,21.0,1.4142135623730951,2.8284271247461903,25.09,25.09
14,21.0,1.224744871391589,2.449489742783178,27.02,27.02
15,18.0,2.0493901531919194,4.09878030638384,28.95,28.95
16,22.6,2.1118712081942874,4.223742416388575,30.88,30.88
17,21.6,2.9597297173897483,5.919459434779497,32.81,32.81
18,21.2,2.2226110770892866,4.445222154178573,34.74,34.74
19,23.4,2.712931993250107,5.4258639865002145,36.67,36.67
20,21.8,2.0832666655999654,4.166533331199932,38.6,38.6
21,19.6,1.4352700094407322,2.870540018881465,40.53,40.53
22,24.0,2.0976176963403033,4.1952353926806065,42.46,42.46
23,23.4,2.357965224510319,4.715930449020639,44.39,44.39
24,17.4,1.9131126469708992,3.8262252939417984,46.32,46.32
25,21.4,1.630950643030009,3.261901286060018,48.25,48.25
26,19.6,0.7483314773547882,1.4966629547095764,50.18,50.18
27,15.2,0.3741657386773941,0.7483314773547882,52.11,52.11
28,19.6,2.461706725018234,4.923413450036469,54.04,54.04
29,19.0,2.4289915602982237,4.857983120596447,55.97,55.97
30,18.4,1.8601075237738274,3.7202150475476548,57.9,57.9
31,21.0,1.760681686165901,3.521363372331802,59.83,59.83
32,19.8,1.6552945357246849,3.3105890714493698,61.76,61.76
33,18.4,2.15870331449229,4.31740662898458,63.69,63.69
34,27.6,1.9646882704388497,3.9293765408777,65.62,65.62
35,22.2,3.072458299147443,6.144916598294887,67.55,67.55
36,18.6,0.6,1.2000000000000002,69.48,69.48
37,22.0,1.4142135623730951,2.8284271247461903,71.41,71.41
38,19.4,1.0295630140987,2.0591260281974,73.34,73.34
39,19.4,2.638181191654583,5.276362383309167,75.27,75.27
40,18.8,2.8705400188814645,5.741080037762929,77.2,77.2
41,19.2,2.939387691339814,5.878775382679628,79.13,79.13
42,24.0,1.9235384061671343,3.847076812334269,81.06,81.06
43,22.0,1.7029386365926402,3.40587727318528,82.99,82.99
44,18.8,0.9695359714832658,1.9390719429665315,84.92,84.92
45,15.6,2.4617067250182343,4.923413450036469,86.85,86.85
46,20.0,2.258317958127243,4.516635916254486,88.78,88.78
47,23.4,1.469693845669907,2.939387691339814,90.71,90.71
48,25.2,1.3564659966250534,2.7129319932501073,92.64,92.64
49,23.2,2.1999999999999997,4.3999999999999995,94.57,94.57
50,17.2,1.5620499351813308,3.1240998703626617,96.5,96.5
51,19.2,1.4628738838327793,2.9257477676655586,98.42999999999999,98.42999999999999
52,18.8,2.437211521390788,4.874423042781576,100.36,100.36
53,16.8,1.4628738838327793,2.9257477676655586,102.28999999999999,102.28999999999999
54,20.8,2.8705400188814645,5.741080037762929,104.22,104.22
55,18.6,1.9131126469708988,3.826225293941798,106.14999999999999,106.14999999999999
56,19.4,2.657066051117284,5.314132102234569,108.08,108.08
57,17.8,2.88790581563873,5.775811631277461,110.00999999999999,110.00999999999999
58,17.4,1.7204650534085253,3.4409301068170506,111.94,111.94
59,15.8,1.4628738838327793,2.9257477676655586,113.86999999999999,113.86999999999999
60,18.2,2.353720459187964,4.707440918375928,115.8,115.8
61,19.0,2.0493901531919194,4.09878030638384,117.72999999999999,117.72999999999999
62,20.4,1.9646882704388497,3.9293765408777,119.66,119.66
63,18.2,1.4966629547095764,2.993325909419153,121.58999999999999,121.58999999999999
64,18.4,1.4696938456699067,2.9393876913398134,123.52,123.52
65,16.2,1.9849433241279208,3.9698866482558417,125.45,125.45
66,18.4,2.8913664589601917,5.782732917920384,127.38,127.38
67,16.6,0.7483314773547882,1.4966629547095764,129.31,129.31
68,19.4,2.561249694973139,5.122499389946279,131.24,131.24
69,15.8,1.42828568570857,2.85657137141714,133.17,133.17
70,20.2,2.8705400188814645,5.74108003776293,135.1,135.1
71,16.8,1.5937377450509227,3.1874754901018454,137.03,137.03
72,18.8,2.0346989949375804,4.069397989875161,138.96,138.96
73,20.2,1.6852299546352716,3.370459909270543,140.89,140.89
74,16.4,0.5099019513592785,1.019803902718557,142.82,142.82
75,17.8,1.9339079605813716,3.867815921162743,144.75,144.75
76,21.4,1.3638181696985856,2.727636339397171,146.68,146.68
77,20.4,0.7483314773547882,1.4966629547095767,148.60999999999999,148.60999999999999
78,14.8,1.2806248474865696,2.5612496949731396,150.54,150.54
79,18.6,2.1118712081942874,4.223742416388575,152.47,152.47
80,17.6,2.15870331449229,4.31740662898458,154.4,154.4
81,18.4,1.8601075237738274,3.7202150475476548,156.32999999999998,156.32999999999998
82,13.0,3.098386676965933,6.196773353931867,158.26,158.26
83,15.4,1.4352700094407322,2.8705400188814645,160.19,160.19
84,15.2,1.2409673645990855,2.481934729198171,162.12,162.12
85,18.4,1.9131126469708992,3.8262252939417984,164.04999999999998,164.04999999999998
86,18.2,1.2409673645990855,2.481934729198171,165.98,165.98
87,15.6,1.8867962264113205,3.7735924528226414,167.91,167.91
88,17.6,1.0295630140987,2.0591260281974,169.84,169.84
89,14.8,1.6552945357246849,3.3105890714493698,171.76999999999998,171.76999999999998
90,16.8,1.772004514666935,3.54400902933387,173.7,173.7
91,19.6,2.063976744055029,4.127953488110059,175.63,175.63
92,19.6,2.3790754506740637,4.758150901348127,177.56,177.56
93,14.4,3.325657829663178,6.651315659326356,179.48999999999998,179.48999999999998
94,17.0,0.8944271909999159,1.7888543819998317,181.42,181.42
