,mean,se,stdev,time,Time
0,32.25,7.140803276142778,18.89278962990908,0.0,0.0
1,29.25,5.963430220938281,15.777753325489659,1.93,1.93
2,28.125,5.481910185848933,14.503771061348148,3.86,3.86
3,30.625,6.497080388253524,17.189658955313803,5.79,5.79
4,26.625,4.942301011241048,13.076099380166855,7.72,7.72
5,28.5,5.154748157905347,13.638181696985855,9.65,9.65
6,24.5,5.301617004003859,14.026760139105537,11.58,11.58
7,30.875,5.995347898877214,15.862199563742728,13.51,13.51
8,30.25,6.33231508105166,16.753730927766508,15.44,15.44
9,25.875,5.403165408218725,14.295431962693538,17.37,17.37
10,27.375,4.605654521501648,12.185416488573544,19.3,19.3
11,26.875,5.472129058106307,14.477892629799408,21.23,21.23
12,27.375,5.684997487120943,15.041089554949137,23.16,23.16
13,26.0,5.52268050859363,14.611639196202457,25.09,25.09
14,29.625,5.384957553884975,14.247258508218344,27.02,27.02
15,27.0,5.496752287877425,14.543039572248986,28.95,28.95
16,23.75,4.813485520612153,12.735285626950029,30.88,30.88
17,27.375,4.750704834924122,12.569183545481385,32.81,32.81
18,30.75,4.89442102223104,12.94942083646987,34.74,34.74
19,28.25,5.848534615000338,15.473768125443783,36.67,36.67
20,25.75,6.457968499679844,17.086178624841775,38.6,38.6
21,27.625,6.044293353474592,15.991697064414396,40.53,40.53
22,26.0,4.057620696206794,10.735455276791944,42.46,42.46
23,26.25,5.774791276376512,15.278661590597522,44.39,44.39
24,28.125,5.107548685174579,13.513303630126869,46.32,46.32
25,24.875,4.634642458085167,12.262111359794446,48.25,48.25
26,27.75,5.579778541432318,14.762706391444626,50.18,50.18
27,29.125,5.92945884064112,15.687873501529772,52.11,52.11
28,31.25,7.530295953205102,19.92329039089678,54.04,54.04
29,26.0,4.58647078762247,12.134661099511597,55.97,55.97
30,29.0,6.372373408483126,16.859715300087366,57.9,57.9
31,24.0,4.851362106224837,12.835497652993435,59.83,59.83
32,30.25,7.0349890851778465,18.612831595434372,61.76,61.76
33,28.0,5.678908345800273,15.02497920131672,63.69,63.69
34,28.625,5.522478416177184,14.611104509926689,65.62,65.62
35,23.75,4.522759903295458,11.96609794377432,67.55,67.55
36,27.625,4.806756777109251,12.717483045005407,69.48,69.48
37,28.0,5.852349955359812,15.483862567202022,71.41,71.41
38,29.75,6.8419660917020035,18.102140757380052,73.34,73.34
39,25.125,4.741298420716177,12.544296512758299,75.27,75.27
40,24.125,5.163185271017992,13.660504200065239,77.2,77.2
41,27.25,5.256798319455348,13.908181045701124,79.13,79.13
42,26.75,5.614871834181589,14.85555451674558,81.06,81.06
43,27.625,6.059047249479787,16.03073220411345,82.99,82.99
44,25.375,5.519243931140259,14.602546866899623,84.92,84.92
45,29.125,7.172460974349838,18.976548026445695,86.85,86.85
46,26.625,5.0565992948395095,13.378504213849917,88.78,88.78
47,29.0,6.144102863722253,16.25576820700886,90.71,90.71
48,27.125,5.0158231769927,13.270620746596597,92.64,92.64
49,28.5,6.5328838523711275,17.284386017443605,94.57,94.57
50,23.25,4.697073557013984,12.427288521636568,96.5,96.5
51,30.125,5.673992988061532,15.01197438713509,98.42999999999999,98.42999999999999
52,24.625,5.787725620409354,15.312882648280173,100.36,100.36
53,27.375,6.22190112195851,16.461603050735977,102.28999999999999,102.28999999999999
54,28.875,5.938486760109852,15.711759131300353,104.22,104.22
55,26.5,5.3284948290166465,14.097872179871684,106.14999999999999,106.14999999999999
56,28.875,6.039860156848476,15.979967928628643,108.08,108.08
57,26.375,5.411421453080248,14.317275404210118,110.00999999999999,110.00999999999999
58,27.375,4.463892839855621,11.81035033349985,111.94,111.94
59,25.75,4.043292505584314,10.697546447667333,113.86999999999999,113.86999999999999
60,28.5,6.853049373402012,18.131464364468744,115.8,115.8
61,26.625,5.8947237303492726,15.595973037935146,117.72999999999999,117.72999999999999
62,28.0,5.5420470689345205,14.66287829861518,119.66,119.66
63,25.75,5.219297982350827,13.808964479641476,121.58999999999999,121.58999999999999
64,28.875,6.26907802517358,16.586421404269217,123.52,123.52
65,23.75,4.0828473957696305,10.80219885023415,125.45,125.45
66,29.75,5.777882706617413,15.286840746210448,127.38,127.38
67,28.125,6.4043442287247485,16.94430213965745,129.31,129.31
68,24.25,4.475129686867825,11.840080236214618,131.24,131.24
69,28.625,5.637684111659427,14.91591012979094,133.17,133.17
70,28.375,5.457424497220015,14.438988018555872,135.1,135.1
71,24.5,4.971346468944375,13.152946437965905,137.03,137.03
72,26.5,4.667516929344154,12.349089035228468,138.96,138.96
73,24.75,5.820990342839315,15.400892831261439,140.89,140.89
74,26.875,4.745063224025576,12.554257246050042,142.82,142.82
75,26.125,5.683426720361078,15.03693369673485,144.75,144.75
76,26.875,6.2405285375977115,16.510886560085137,146.68,146.68
77,29.25,6.402426995177019,16.939229616484923,148.60999999999999,148.60999999999999
78,30.0,5.769377287516763,15.264337522473747,150.54,150.54
79,26.125,5.183895046887316,13.715297116723356,152.47,152.47
80,28.125,6.039860156848476,15.979967928628643,154.4,154.4
81,24.375,4.499751977291955,11.905224693385673,156.32999999999998,156.32999999999998
82,28.0,5.988083404324195,15.84297951775486,158.26,158.26
83,26.375,5.257435211203273,13.909866102878201,160.19,160.19
84,30.375,6.579018326685003,17.406446363344816,162.12,162.12
85,26.0,5.7476703355111,15.20690632574555,164.04999999999998,164.04999999999998
86,27.0,5.116499919727491,13.536986370680884,165.98,165.98
87,23.75,3.4421235140119952,9.107002800043492,167.91,167.91
88,26.625,5.870438959007117,15.531721572317732,169.84,169.84
89,26.75,4.723610906922795,12.497499749949988,171.76999999999998,171.76999999999998
90,25.375,5.088283109261905,13.462331707397496,173.7,173.7
91,26.75,6.0820285619661005,16.091535041754096,175.63,175.63
92,23.625,4.8252960678964705,12.766533397911902,177.56,177.56
93,24.375,5.116281783259624,13.536409235835034,179.48999999999998,179.48999999999998
