Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
13/04/2018 12:34:51	207.00	172.00
13/04/2018 12:34:52	171.00	142.00
13/04/2018 12:34:54	162.00	163.00
13/04/2018 12:34:56	170.00	172.00
13/04/2018 12:34:58	185.00	158.00
13/04/2018 12:35:00	165.00	176.00
13/04/2018 12:35:01	197.00	170.00
13/04/2018 12:35:03	154.00	168.00
13/04/2018 12:35:05	165.00	140.00
13/04/2018 12:35:07	179.00	167.00
13/04/2018 12:35:10	174.00	160.00
13/04/2018 12:35:11	181.00	159.00
13/04/2018 12:35:13	173.00	142.00
13/04/2018 12:35:15	166.00	125.00
13/04/2018 12:35:16	184.00	156.00
13/04/2018 12:35:19	178.00	145.00
13/04/2018 12:35:20	163.00	147.00
13/04/2018 12:35:22	157.00	147.00
13/04/2018 12:35:24	162.00	146.00
13/04/2018 12:35:25	172.00	136.00
13/04/2018 12:35:27	185.00	181.00
13/04/2018 12:35:29	184.00	180.00
13/04/2018 12:35:31	161.00	151.00
13/04/2018 12:35:33	187.00	166.00
13/04/2018 12:35:36	183.00	157.00
13/04/2018 12:35:37	190.00	150.00
13/04/2018 12:35:39	159.00	139.00
13/04/2018 12:35:41	170.00	145.00
13/04/2018 12:35:43	159.00	164.00
13/04/2018 12:35:45	196.00	148.00
13/04/2018 12:35:47	161.00	166.00
13/04/2018 12:35:49	159.00	151.00
13/04/2018 12:35:51	186.00	150.00
13/04/2018 12:35:53	178.00	156.00
13/04/2018 12:35:55	174.00	170.00
13/04/2018 12:35:57	161.00	150.00
13/04/2018 12:35:58	137.00	154.00
13/04/2018 12:36:00	191.00	152.00
13/04/2018 12:36:02	170.00	185.00
13/04/2018 12:36:04	158.00	172.00
13/04/2018 12:36:06	160.00	144.00
13/04/2018 12:36:08	179.00	140.00
13/04/2018 12:36:10	145.00	136.00
13/04/2018 12:36:12	145.00	166.00
13/04/2018 12:36:14	195.00	165.00
13/04/2018 12:36:16	139.00	152.00
13/04/2018 12:36:17	158.00	153.00
13/04/2018 12:36:19	183.00	157.00
13/04/2018 12:36:21	170.00	147.00
13/04/2018 12:36:23	145.00	162.00
13/04/2018 12:36:25	174.00	140.00
13/04/2018 12:36:27	161.00	156.00
13/04/2018 12:36:29	171.00	158.00
13/04/2018 12:36:31	176.00	161.00
13/04/2018 12:36:33	152.00	155.00
13/04/2018 12:36:35	175.00	156.00
13/04/2018 12:36:37	159.00	174.00
13/04/2018 12:36:39	165.00	143.00
13/04/2018 12:36:40	175.00	169.00
13/04/2018 12:36:42	126.00	145.00
13/04/2018 12:36:44	163.00	160.00
13/04/2018 12:36:46	164.00	156.00
13/04/2018 12:36:48	164.00	138.00
13/04/2018 12:36:50	162.00	172.00
13/04/2018 12:36:53	174.00	171.00
13/04/2018 12:36:54	161.00	145.00
13/04/2018 12:36:57	151.00	185.00
13/04/2018 12:36:59	183.00	132.00
13/04/2018 12:37:01	144.00	156.00
13/04/2018 12:37:03	160.00	162.00
13/04/2018 12:37:05	163.00	168.00
13/04/2018 12:37:06	162.00	166.00
13/04/2018 12:37:09	165.00	162.00
13/04/2018 12:37:10	146.00	162.00
13/04/2018 12:37:12	140.00	161.00
13/04/2018 12:37:14	162.00	165.00
13/04/2018 12:37:16	154.00	170.00
13/04/2018 12:37:18	162.00	151.00
13/04/2018 12:37:20	152.00	153.00
13/04/2018 12:37:22	175.00	153.00
13/04/2018 12:37:24	173.00	175.00
13/04/2018 12:37:26	168.00	130.00
13/04/2018 12:37:28	141.00	160.00
13/04/2018 12:37:30	153.00	146.00
13/04/2018 12:37:32	161.00	139.00
13/04/2018 12:37:34	167.00	169.00
13/04/2018 12:37:36	149.00	164.00
13/04/2018 12:37:38	158.00	156.00
13/04/2018 12:37:40	142.00	163.00
13/04/2018 12:37:42	172.00	141.00
13/04/2018 12:37:44	137.00	136.00
13/04/2018 12:37:46	158.00	162.00
13/04/2018 12:37:48	197.00	177.00
13/04/2018 12:37:50	146.00	160.00
13/04/2018 12:37:53	157.00	164.00
13/04/2018 12:37:55	159.00	179.00
13/04/2018 12:37:57	169.00	158.00
13/04/2018 12:37:59	161.00	173.00
13/04/2018 12:38:01	163.00	154.00
13/04/2018 12:38:03	165.00	176.00
13/04/2018 12:38:05	160.00	156.00
