Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
13/04/2018 10:05:21	3564.00	121.00
13/04/2018 10:05:22	3278.00	111.00
13/04/2018 10:05:24	3163.00	108.00
13/04/2018 10:05:26	3294.00	97.00
13/04/2018 10:05:28	3149.00	94.00
13/04/2018 10:05:30	3133.00	76.00
13/04/2018 10:05:32	3183.00	79.00
13/04/2018 10:05:34	3147.00	101.00
13/04/2018 10:05:36	3100.00	82.00
13/04/2018 10:05:38	3226.00	87.00
13/04/2018 10:05:40	3040.00	89.00
13/04/2018 10:05:42	2969.00	68.00
13/04/2018 10:05:45	3032.00	84.00
13/04/2018 10:05:46	3000.00	89.00
13/04/2018 10:05:48	2917.00	65.00
13/04/2018 10:05:50	2952.00	84.00
13/04/2018 10:05:52	3032.00	60.00
13/04/2018 10:05:54	2977.00	66.00
13/04/2018 10:05:56	3021.00	67.00
13/04/2018 10:05:58	2957.00	68.00
13/04/2018 10:06:00	2876.00	61.00
13/04/2018 10:06:02	2890.00	70.00
13/04/2018 10:06:04	2943.00	62.00
13/04/2018 10:06:06	2970.00	78.00
13/04/2018 10:06:09	2832.00	73.00
13/04/2018 10:06:11	2871.00	78.00
13/04/2018 10:06:12	3000.00	70.00
13/04/2018 10:06:14	2863.00	65.00
13/04/2018 10:06:16	2864.00	68.00
13/04/2018 10:06:18	2818.00	52.00
13/04/2018 10:06:20	2917.00	64.00
13/04/2018 10:06:22	2819.00	72.00
13/04/2018 10:06:24	2851.00	71.00
13/04/2018 10:06:26	2851.00	68.00
13/04/2018 10:06:28	2775.00	61.00
13/04/2018 10:06:30	2750.00	78.00
13/04/2018 10:06:32	2803.00	73.00
13/04/2018 10:06:34	2795.00	71.00
13/04/2018 10:06:36	2808.00	70.00
13/04/2018 10:06:38	2704.00	65.00
13/04/2018 10:06:40	2719.00	74.00
13/04/2018 10:06:43	2764.00	55.00
13/04/2018 10:06:45	2841.00	80.00
13/04/2018 10:06:46	2739.00	65.00
13/04/2018 10:06:48	2722.00	53.00
13/04/2018 10:06:50	2673.00	65.00
13/04/2018 10:06:52	2797.00	64.00
13/04/2018 10:06:54	2677.00	65.00
13/04/2018 10:06:56	2760.00	70.00
13/04/2018 10:06:58	2755.00	68.00
13/04/2018 10:07:00	2745.00	71.00
13/04/2018 10:07:02	2683.00	75.00
13/04/2018 10:07:05	2735.00	63.00
13/04/2018 10:07:07	2679.00	55.00
13/04/2018 10:07:08	2721.00	74.00
13/04/2018 10:07:10	2659.00	72.00
13/04/2018 10:07:13	2696.00	64.00
13/04/2018 10:07:15	2609.00	66.00
13/04/2018 10:07:17	2630.00	54.00
13/04/2018 10:07:19	2529.00	61.00
13/04/2018 10:07:21	2715.00	62.00
13/04/2018 10:07:23	2606.00	61.00
13/04/2018 10:07:25	2777.00	56.00
13/04/2018 10:07:27	2686.00	71.00
13/04/2018 10:07:28	2637.00	63.00
13/04/2018 10:07:30	2631.00	54.00
13/04/2018 10:07:33	2641.00	54.00
13/04/2018 10:07:34	2657.00	64.00
13/04/2018 10:07:36	2563.00	58.00
13/04/2018 10:07:38	2579.00	61.00
13/04/2018 10:07:40	2669.00	69.00
13/04/2018 10:07:43	2636.00	52.00
13/04/2018 10:07:45	2677.00	63.00
13/04/2018 10:07:46	2555.00	50.00
13/04/2018 10:07:48	2570.00	56.00
13/04/2018 10:07:50	2587.00	65.00
13/04/2018 10:07:52	2589.00	61.00
13/04/2018 10:07:54	2549.00	75.00
13/04/2018 10:07:56	2587.00	58.00
13/04/2018 10:07:58	2645.00	74.00
13/04/2018 10:08:00	2651.00	53.00
13/04/2018 10:08:02	2705.00	55.00
13/04/2018 10:08:04	2604.00	69.00
13/04/2018 10:08:06	2574.00	61.00
13/04/2018 10:08:09	2561.00	73.00
13/04/2018 10:08:11	2520.00	52.00
13/04/2018 10:08:13	2522.00	54.00
13/04/2018 10:08:14	2460.00	65.00
13/04/2018 10:08:17	2534.00	55.00
13/04/2018 10:08:19	2470.00	75.00
13/04/2018 10:08:21	2501.00	59.00
13/04/2018 10:08:23	2554.00	59.00
