Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
13/04/2018 14:16:10	1049.00	33.00
13/04/2018 14:16:12	908.00	44.00
13/04/2018 14:16:14	275.00	52.00
13/04/2018 14:16:15	284.00	59.00
13/04/2018 14:16:17	297.00	48.00
13/04/2018 14:16:19	311.00	55.00
13/04/2018 14:16:22	253.00	49.00
13/04/2018 14:16:23	232.00	54.00
13/04/2018 14:16:25	255.00	58.00
13/04/2018 14:16:27	277.00	46.00
13/04/2018 14:16:29	284.00	51.00
13/04/2018 14:16:31	274.00	44.00
13/04/2018 14:16:32	247.00	50.00
13/04/2018 14:16:34	263.00	57.00
13/04/2018 14:16:36	283.00	45.00
13/04/2018 14:16:38	279.00	56.00
13/04/2018 14:16:40	262.00	52.00
13/04/2018 14:16:42	288.00	41.00
13/04/2018 14:16:43	261.00	53.00
13/04/2018 14:16:46	266.00	43.00
13/04/2018 14:16:48	259.00	56.00
13/04/2018 14:16:49	268.00	51.00
13/04/2018 14:16:51	290.00	50.00
13/04/2018 14:16:53	235.00	55.00
13/04/2018 14:16:54	281.00	53.00
13/04/2018 14:16:56	283.00	56.00
13/04/2018 14:16:58	276.00	60.00
13/04/2018 14:17:00	270.00	40.00
13/04/2018 14:17:02	288.00	68.00
13/04/2018 14:17:04	249.00	45.00
13/04/2018 14:17:06	280.00	47.00
13/04/2018 14:17:08	258.00	66.00
13/04/2018 14:17:10	262.00	52.00
13/04/2018 14:17:12	286.00	53.00
13/04/2018 14:17:14	257.00	46.00
13/04/2018 14:17:15	294.00	43.00
13/04/2018 14:17:17	276.00	43.00
13/04/2018 14:17:20	270.00	67.00
13/04/2018 14:17:22	263.00	57.00
