Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
12/04/2018 15:14:09	421.00	58.00
12/04/2018 15:14:11	445.00	58.00
12/04/2018 15:14:13	423.00	40.00
12/04/2018 15:14:16	451.00	40.00
12/04/2018 15:14:18	435.00	53.00
12/04/2018 15:14:20	446.00	41.00
12/04/2018 15:14:22	434.00	52.00
12/04/2018 15:14:23	443.00	38.00
12/04/2018 15:14:25	445.00	46.00
12/04/2018 15:14:27	443.00	37.00
12/04/2018 15:14:29	437.00	48.00
12/04/2018 15:14:32	427.00	47.00
12/04/2018 15:14:34	450.00	50.00
12/04/2018 15:14:36	414.00	41.00
12/04/2018 15:14:38	478.00	49.00
12/04/2018 15:14:40	454.00	44.00
12/04/2018 15:14:42	385.00	60.00
12/04/2018 15:14:44	413.00	53.00
12/04/2018 15:14:46	417.00	43.00
12/04/2018 15:14:48	455.00	52.00
12/04/2018 15:14:50	440.00	64.00
12/04/2018 15:14:52	382.00	41.00
12/04/2018 15:14:54	461.00	45.00
12/04/2018 15:14:57	457.00	50.00
12/04/2018 15:14:59	462.00	38.00
12/04/2018 15:15:01	399.00	44.00
12/04/2018 15:15:03	480.00	52.00
12/04/2018 15:15:05	441.00	57.00
12/04/2018 15:15:07	395.00	45.00
12/04/2018 15:15:09	450.00	44.00
12/04/2018 15:15:11	392.00	52.00
12/04/2018 15:15:13	464.00	45.00
12/04/2018 15:15:15	446.00	38.00
12/04/2018 15:15:17	443.00	51.00
12/04/2018 15:15:19	401.00	48.00
12/04/2018 15:15:21	453.00	39.00
12/04/2018 15:15:23	446.00	63.00
12/04/2018 15:15:25	416.00	53.00
12/04/2018 15:15:27	431.00	64.00
12/04/2018 15:15:28	412.00	51.00
12/04/2018 15:15:31	435.00	50.00
12/04/2018 15:15:33	445.00	38.00
12/04/2018 15:15:35	409.00	43.00
12/04/2018 15:15:37	426.00	53.00
12/04/2018 15:15:39	462.00	57.00
12/04/2018 15:15:41	460.00	53.00
12/04/2018 15:15:43	397.00	61.00
12/04/2018 15:15:45	447.00	55.00
12/04/2018 15:15:47	472.00	44.00
12/04/2018 15:15:49	464.00	48.00
12/04/2018 15:15:51	427.00	52.00
12/04/2018 15:15:53	475.00	48.00
12/04/2018 15:15:55	443.00	53.00
12/04/2018 15:15:57	456.00	55.00
12/04/2018 15:15:59	432.00	53.00
12/04/2018 15:16:01	425.00	49.00
12/04/2018 15:16:03	440.00	41.00
12/04/2018 15:16:05	457.00	47.00
12/04/2018 15:16:07	426.00	53.00
12/04/2018 15:16:09	412.00	53.00
12/04/2018 15:16:11	411.00	51.00
12/04/2018 15:16:13	431.00	36.00
12/04/2018 15:16:15	420.00	44.00
12/04/2018 15:16:17	454.00	42.00
12/04/2018 15:16:19	433.00	56.00
12/04/2018 15:16:21	444.00	44.00
12/04/2018 15:16:23	424.00	47.00
12/04/2018 15:16:25	437.00	43.00
12/04/2018 15:16:26	452.00	42.00
12/04/2018 15:16:28	419.00	48.00
12/04/2018 15:16:30	423.00	50.00
12/04/2018 15:16:32	454.00	38.00
12/04/2018 15:16:34	473.00	45.00
12/04/2018 15:16:36	423.00	59.00
12/04/2018 15:16:38	420.00	48.00
12/04/2018 15:16:40	400.00	48.00
12/04/2018 15:16:42	420.00	41.00
12/04/2018 15:16:44	458.00	45.00
12/04/2018 15:16:45	438.00	53.00
12/04/2018 15:16:47	413.00	52.00
12/04/2018 15:16:49	420.00	41.00
12/04/2018 15:16:51	417.00	51.00
12/04/2018 15:16:53	404.00	48.00
12/04/2018 15:16:55	432.00	50.00
12/04/2018 15:16:57	457.00	37.00
12/04/2018 15:16:59	436.00	49.00
12/04/2018 15:17:01	448.00	50.00
12/04/2018 15:17:03	468.00	50.00
12/04/2018 15:17:06	451.00	55.00
12/04/2018 15:17:08	425.00	49.00
12/04/2018 15:17:10	422.00	52.00
12/04/2018 15:17:12	436.00	44.00
12/04/2018 15:17:14	429.00	51.00
12/04/2018 15:17:16	412.00	58.00
12/04/2018 15:17:18	435.00	37.00
12/04/2018 15:17:20	426.00	35.00
12/04/2018 15:17:21	438.00	41.00
12/04/2018 15:17:24	451.00	63.00
12/04/2018 15:17:25	432.00	68.00
