Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
12/04/2018 15:40:12	1643.00	32.00
12/04/2018 15:40:14	1628.00	24.00
12/04/2018 15:40:15	1664.00	26.00
12/04/2018 15:40:17	1644.00	25.00
12/04/2018 15:40:19	1624.00	16.00
12/04/2018 15:40:21	1661.00	26.00
12/04/2018 15:40:23	1563.00	23.00
12/04/2018 15:40:25	1549.00	26.00
12/04/2018 15:40:27	1567.00	17.00
12/04/2018 15:40:29	1574.00	20.00
12/04/2018 15:40:31	1503.00	16.00
12/04/2018 15:40:33	1548.00	20.00
12/04/2018 15:40:35	1515.00	15.00
12/04/2018 15:40:37	1464.00	21.00
12/04/2018 15:40:39	1566.00	19.00
12/04/2018 15:40:41	1438.00	25.00
12/04/2018 15:40:43	1513.00	18.00
12/04/2018 15:40:45	1519.00	18.00
12/04/2018 15:40:47	1534.00	15.00
12/04/2018 15:40:49	1526.00	19.00
12/04/2018 15:40:50	1510.00	16.00
12/04/2018 15:40:52	1539.00	16.00
12/04/2018 15:40:54	1441.00	14.00
12/04/2018 15:40:56	1458.00	11.00
12/04/2018 15:40:58	1489.00	17.00
12/04/2018 15:41:00	1565.00	13.00
12/04/2018 15:41:02	1466.00	17.00
12/04/2018 15:41:04	1554.00	17.00
12/04/2018 15:41:06	1542.00	8.00
12/04/2018 15:41:08	1488.00	20.00
12/04/2018 15:41:10	1508.00	11.00
12/04/2018 15:41:12	1597.00	13.00
12/04/2018 15:41:14	1520.00	16.00
12/04/2018 15:41:16	1545.00	11.00
12/04/2018 15:41:17	1475.00	11.00
12/04/2018 15:41:19	1565.00	24.00
12/04/2018 15:41:21	1546.00	19.00
12/04/2018 15:41:23	1519.00	20.00
12/04/2018 15:41:25	1453.00	15.00
12/04/2018 15:41:27	1498.00	14.00
12/04/2018 15:41:29	1560.00	8.00
12/04/2018 15:41:31	1503.00	12.00
12/04/2018 15:41:33	1479.00	12.00
12/04/2018 15:41:35	1589.00	15.00
12/04/2018 15:41:37	1408.00	13.00
12/04/2018 15:41:39	1568.00	14.00
12/04/2018 15:41:41	1452.00	16.00
12/04/2018 15:41:42	1504.00	16.00
12/04/2018 15:41:44	1552.00	19.00
12/04/2018 15:41:46	1533.00	13.00
12/04/2018 15:41:48	1436.00	14.00
12/04/2018 15:41:50	1474.00	18.00
12/04/2018 15:41:52	1543.00	13.00
12/04/2018 15:41:54	1495.00	15.00
12/04/2018 15:41:55	1548.00	21.00
12/04/2018 15:41:57	1473.00	12.00
12/04/2018 15:41:59	1455.00	17.00
12/04/2018 15:42:01	1452.00	13.00
12/04/2018 15:42:03	1561.00	11.00
12/04/2018 15:42:05	1531.00	20.00
12/04/2018 15:42:07	1495.00	12.00
12/04/2018 15:42:09	1510.00	18.00
12/04/2018 15:42:10	1532.00	10.00
12/04/2018 15:42:12	1532.00	11.00
12/04/2018 15:42:14	1575.00	12.00
12/04/2018 15:42:16	1450.00	14.00
12/04/2018 15:42:18	1487.00	17.00
12/04/2018 15:42:20	1459.00	15.00
12/04/2018 15:42:22	1499.00	11.00
12/04/2018 15:42:24	1505.00	15.00
12/04/2018 15:42:26	1505.00	14.00
12/04/2018 15:42:28	1466.00	17.00
12/04/2018 15:42:30	1472.00	12.00
12/04/2018 15:42:31	1471.00	17.00
12/04/2018 15:42:33	1509.00	11.00
12/04/2018 15:42:35	1418.00	8.00
12/04/2018 15:42:37	1477.00	8.00
12/04/2018 15:42:39	1462.00	16.00
12/04/2018 15:42:41	1501.00	17.00
12/04/2018 15:42:43	1515.00	13.00
12/04/2018 15:42:45	1511.00	5.00
12/04/2018 15:42:47	1472.00	15.00
12/04/2018 15:42:49	1513.00	13.00
12/04/2018 15:42:51	1525.00	7.00
12/04/2018 15:42:52	1452.00	14.00
12/04/2018 15:42:55	1483.00	17.00
12/04/2018 15:42:57	1460.00	9.00
12/04/2018 15:42:59	1560.00	8.00
12/04/2018 15:43:01	1504.00	23.00
12/04/2018 15:43:02	1493.00	13.00
12/04/2018 15:43:04	1476.00	11.00
12/04/2018 15:43:06	1452.00	10.00
12/04/2018 15:43:08	1480.00	19.00
12/04/2018 15:43:10	1527.00	11.00
12/04/2018 15:43:12	1505.00	18.00
12/04/2018 15:43:14	1446.00	16.00
