Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
13/04/2018 12:57:06	441.00	20.00
13/04/2018 12:57:08	460.00	25.00
13/04/2018 12:57:10	417.00	14.00
13/04/2018 12:57:12	397.00	16.00
13/04/2018 12:57:13	458.00	16.00
13/04/2018 12:57:15	421.00	17.00
13/04/2018 12:57:17	411.00	16.00
13/04/2018 12:57:19	397.00	12.00
13/04/2018 12:57:20	422.00	13.00
13/04/2018 12:57:22	427.00	5.00
13/04/2018 12:57:24	443.00	14.00
13/04/2018 12:57:26	406.00	11.00
13/04/2018 12:57:28	419.00	13.00
13/04/2018 12:57:30	390.00	8.00
13/04/2018 12:57:32	415.00	6.00
13/04/2018 12:57:34	380.00	11.00
13/04/2018 12:57:36	413.00	8.00
13/04/2018 12:57:38	401.00	7.00
13/04/2018 12:57:40	412.00	12.00
13/04/2018 12:57:42	412.00	6.00
13/04/2018 12:57:44	429.00	11.00
13/04/2018 12:57:47	398.00	10.00
13/04/2018 12:57:48	378.00	9.00
13/04/2018 12:57:50	384.00	4.00
13/04/2018 12:57:52	373.00	10.00
13/04/2018 12:57:54	374.00	11.00
13/04/2018 12:57:56	402.00	10.00
13/04/2018 12:57:58	414.00	10.00
13/04/2018 12:58:00	419.00	4.00
13/04/2018 12:58:02	363.00	5.00
13/04/2018 12:58:04	423.00	5.00
13/04/2018 12:58:06	415.00	7.00
13/04/2018 12:58:08	368.00	6.00
13/04/2018 12:58:10	389.00	3.00
13/04/2018 12:58:12	411.00	5.00
13/04/2018 12:58:14	401.00	4.00
13/04/2018 12:58:16	365.00	2.00
13/04/2018 12:58:18	402.00	5.00
13/04/2018 12:58:20	429.00	6.00
13/04/2018 12:58:22	385.00	6.00
13/04/2018 12:58:23	372.00	3.00
13/04/2018 12:58:26	421.00	6.00
13/04/2018 12:58:28	394.00	5.00
13/04/2018 12:58:30	405.00	4.00
13/04/2018 12:58:32	399.00	11.00
13/04/2018 12:58:34	362.00	9.00
13/04/2018 12:58:36	404.00	7.00
13/04/2018 12:58:37	369.00	7.00
13/04/2018 12:58:39	426.00	3.00
13/04/2018 12:58:41	416.00	3.00
13/04/2018 12:58:43	427.00	2.00
13/04/2018 12:58:45	394.00	3.00
13/04/2018 12:58:47	393.00	4.00
13/04/2018 12:58:49	430.00	5.00
13/04/2018 12:58:51	375.00	3.00
13/04/2018 12:58:53	382.00	7.00
13/04/2018 12:58:55	386.00	4.00
13/04/2018 12:58:57	416.00	6.00
13/04/2018 12:58:59	382.00	6.00
13/04/2018 12:59:01	410.00	8.00
13/04/2018 12:59:02	390.00	4.00
13/04/2018 12:59:04	388.00	6.00
13/04/2018 12:59:06	371.00	4.00
13/04/2018 12:59:08	394.00	8.00
13/04/2018 12:59:10	409.00	5.00
13/04/2018 12:59:13	403.00	3.00
13/04/2018 12:59:15	364.00	5.00
13/04/2018 12:59:17	377.00	3.00
13/04/2018 12:59:19	403.00	10.00
13/04/2018 12:59:21	409.00	4.00
13/04/2018 12:59:23	413.00	6.00
13/04/2018 12:59:25	370.00	2.00
13/04/2018 12:59:27	402.00	2.00
13/04/2018 12:59:29	382.00	5.00
13/04/2018 12:59:31	398.00	4.00
13/04/2018 12:59:33	433.00	3.00
13/04/2018 12:59:34	399.00	6.00
13/04/2018 12:59:36	367.00	0.00
13/04/2018 12:59:39	401.00	3.00
13/04/2018 12:59:40	389.00	5.00
13/04/2018 12:59:42	387.00	4.00
13/04/2018 12:59:44	377.00	4.00
13/04/2018 12:59:46	418.00	4.00
13/04/2018 12:59:49	397.00	6.00
13/04/2018 12:59:51	391.00	3.00
13/04/2018 12:59:53	382.00	3.00
13/04/2018 12:59:56	408.00	3.00
13/04/2018 12:59:58	366.00	3.00
13/04/2018 13:00:00	391.00	6.00
13/04/2018 13:00:02	377.00	2.00
13/04/2018 13:00:04	404.00	4.00
