Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
12/04/2018 13:52:12	407.00	83.00
12/04/2018 13:52:14	366.00	80.00
12/04/2018 13:52:15	358.00	69.00
12/04/2018 13:52:17	376.00	66.00
12/04/2018 13:52:19	358.00	91.00
12/04/2018 13:52:21	383.00	85.00
12/04/2018 13:52:23	354.00	63.00
12/04/2018 13:52:24	355.00	85.00
12/04/2018 13:52:26	383.00	87.00
12/04/2018 13:52:28	415.00	72.00
12/04/2018 13:52:30	384.00	77.00
12/04/2018 13:52:32	386.00	69.00
12/04/2018 13:52:34	386.00	85.00
12/04/2018 13:52:36	328.00	57.00
12/04/2018 13:52:38	373.00	83.00
12/04/2018 13:52:39	356.00	83.00
12/04/2018 13:52:42	359.00	86.00
12/04/2018 13:52:44	372.00	73.00
12/04/2018 13:52:46	356.00	63.00
12/04/2018 13:52:48	372.00	65.00
12/04/2018 13:52:50	345.00	79.00
12/04/2018 13:52:52	365.00	65.00
12/04/2018 13:52:54	394.00	86.00
12/04/2018 13:52:56	358.00	68.00
12/04/2018 13:52:58	344.00	97.00
12/04/2018 13:53:00	374.00	78.00
12/04/2018 13:53:02	418.00	86.00
12/04/2018 13:53:04	376.00	84.00
12/04/2018 13:53:06	412.00	74.00
12/04/2018 13:53:08	376.00	73.00
12/04/2018 13:53:11	368.00	75.00
12/04/2018 13:53:13	399.00	94.00
12/04/2018 13:53:15	364.00	67.00
12/04/2018 13:53:17	397.00	89.00
12/04/2018 13:53:19	382.00	84.00
12/04/2018 13:53:21	382.00	76.00
12/04/2018 13:53:23	378.00	56.00
12/04/2018 13:53:25	429.00	55.00
12/04/2018 13:53:27	396.00	75.00
12/04/2018 13:53:29	372.00	76.00
12/04/2018 13:53:31	381.00	76.00
12/04/2018 13:53:34	431.00	73.00
12/04/2018 13:53:36	386.00	85.00
12/04/2018 13:53:37	383.00	73.00
12/04/2018 13:53:40	364.00	90.00
12/04/2018 13:53:42	391.00	81.00
12/04/2018 13:53:44	405.00	52.00
12/04/2018 13:53:46	413.00	74.00
12/04/2018 13:53:48	352.00	74.00
12/04/2018 13:53:51	380.00	83.00
12/04/2018 13:53:53	390.00	79.00
12/04/2018 13:53:54	379.00	69.00
12/04/2018 13:53:56	408.00	92.00
12/04/2018 13:53:59	404.00	67.00
12/04/2018 13:54:00	408.00	76.00
12/04/2018 13:54:02	410.00	81.00
12/04/2018 13:54:04	375.00	64.00
12/04/2018 13:54:06	395.00	67.00
12/04/2018 13:54:08	388.00	79.00
12/04/2018 13:54:10	386.00	91.00
12/04/2018 13:54:12	379.00	73.00
12/04/2018 13:54:14	362.00	96.00
12/04/2018 13:54:16	397.00	70.00
12/04/2018 13:54:18	379.00	102.00
12/04/2018 13:54:20	413.00	75.00
12/04/2018 13:54:23	417.00	82.00
12/04/2018 13:54:24	437.00	77.00
12/04/2018 13:54:26	381.00	85.00
12/04/2018 13:54:28	385.00	76.00
12/04/2018 13:54:30	399.00	60.00
12/04/2018 13:54:32	417.00	79.00
12/04/2018 13:54:34	374.00	73.00
12/04/2018 13:54:36	457.00	72.00
12/04/2018 13:54:38	422.00	91.00
12/04/2018 13:54:40	424.00	52.00
12/04/2018 13:54:42	407.00	80.00
12/04/2018 13:54:44	433.00	76.00
12/04/2018 13:54:46	414.00	97.00
12/04/2018 13:54:48	421.00	67.00
12/04/2018 13:54:50	412.00	70.00
12/04/2018 13:54:52	363.00	85.00
12/04/2018 13:54:53	389.00	70.00
12/04/2018 13:54:55	400.00	72.00
12/04/2018 13:54:57	418.00	82.00
12/04/2018 13:54:59	423.00	69.00
12/04/2018 13:55:01	374.00	76.00
12/04/2018 13:55:03	425.00	84.00
12/04/2018 13:55:05	409.00	68.00
12/04/2018 13:55:07	440.00	67.00
12/04/2018 13:55:09	407.00	72.00
12/04/2018 13:55:11	421.00	68.00
