Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
12/04/2018 12:45:17	394.00	80.00
12/04/2018 12:45:20	364.00	66.00
12/04/2018 12:45:22	358.00	71.00
12/04/2018 12:45:23	338.00	77.00
12/04/2018 12:45:25	344.00	61.00
12/04/2018 12:45:27	381.00	73.00
12/04/2018 12:45:30	364.00	78.00
12/04/2018 12:45:32	390.00	72.00
12/04/2018 12:45:34	384.00	77.00
12/04/2018 12:45:37	403.00	68.00
12/04/2018 12:45:39	382.00	63.00
12/04/2018 12:45:41	349.00	75.00
12/04/2018 12:45:42	379.00	91.00
12/04/2018 12:45:44	423.00	67.00
12/04/2018 12:45:46	399.00	97.00
12/04/2018 12:45:48	382.00	70.00
12/04/2018 12:45:50	352.00	76.00
12/04/2018 12:45:53	374.00	81.00
12/04/2018 12:45:55	360.00	85.00
12/04/2018 12:45:57	381.00	82.00
12/04/2018 12:45:59	347.00	57.00
12/04/2018 12:46:01	363.00	72.00
12/04/2018 12:46:03	405.00	67.00
12/04/2018 12:46:05	382.00	90.00
12/04/2018 12:46:07	389.00	58.00
12/04/2018 12:46:09	383.00	79.00
12/04/2018 12:46:10	356.00	87.00
12/04/2018 12:46:12	376.00	83.00
12/04/2018 12:46:15	376.00	56.00
12/04/2018 12:46:17	425.00	86.00
12/04/2018 12:46:19	386.00	89.00
12/04/2018 12:46:21	397.00	67.00
12/04/2018 12:46:23	395.00	76.00
12/04/2018 12:46:25	390.00	81.00
12/04/2018 12:46:27	395.00	71.00
12/04/2018 12:46:30	386.00	69.00
12/04/2018 12:46:32	395.00	74.00
12/04/2018 12:46:34	375.00	77.00
12/04/2018 12:46:36	407.00	67.00
12/04/2018 12:46:38	363.00	81.00
12/04/2018 12:46:40	350.00	76.00
12/04/2018 12:46:43	339.00	91.00
12/04/2018 12:46:45	404.00	72.00
12/04/2018 12:46:46	387.00	75.00
12/04/2018 12:46:48	405.00	92.00
12/04/2018 12:46:50	426.00	72.00
12/04/2018 12:46:53	403.00	89.00
12/04/2018 12:46:55	371.00	78.00
12/04/2018 12:46:57	386.00	78.00
12/04/2018 12:46:59	388.00	70.00
12/04/2018 12:47:01	366.00	74.00
12/04/2018 12:47:03	370.00	82.00
12/04/2018 12:47:05	395.00	92.00
12/04/2018 12:47:07	399.00	81.00
12/04/2018 12:47:10	363.00	79.00
12/04/2018 12:47:12	387.00	74.00
12/04/2018 12:47:14	375.00	68.00
12/04/2018 12:47:16	385.00	72.00
12/04/2018 12:47:18	401.00	75.00
12/04/2018 12:47:20	411.00	72.00
12/04/2018 12:47:22	420.00	66.00
12/04/2018 12:47:24	391.00	86.00
12/04/2018 12:47:26	361.00	77.00
12/04/2018 12:47:29	419.00	73.00
12/04/2018 12:47:30	347.00	71.00
12/04/2018 12:47:32	396.00	81.00
12/04/2018 12:47:34	385.00	85.00
12/04/2018 12:47:37	371.00	66.00
12/04/2018 12:47:38	447.00	90.00
12/04/2018 12:47:41	383.00	72.00
12/04/2018 12:47:43	396.00	89.00
12/04/2018 12:47:45	383.00	68.00
12/04/2018 12:47:47	407.00	77.00
12/04/2018 12:47:49	447.00	79.00
12/04/2018 12:47:51	423.00	68.00
12/04/2018 12:47:53	423.00	82.00
12/04/2018 12:47:56	375.00	69.00
12/04/2018 12:47:58	411.00	80.00
12/04/2018 12:47:59	380.00	77.00
12/04/2018 12:48:02	437.00	66.00
12/04/2018 12:48:04	413.00	88.00
12/04/2018 12:48:06	388.00	79.00
12/04/2018 12:48:08	403.00	86.00
12/04/2018 12:48:09	384.00	68.00
12/04/2018 12:48:11	407.00	68.00
12/04/2018 12:48:13	448.00	75.00
12/04/2018 12:48:15	400.00	77.00
12/04/2018 12:48:17	371.00	80.00
12/04/2018 12:48:20	430.00	73.00
12/04/2018 12:48:21	396.00	65.00
12/04/2018 12:48:24	427.00	67.00
12/04/2018 12:48:25	394.00	87.00
12/04/2018 12:48:27	454.00	68.00
12/04/2018 12:48:29	443.00	83.00
12/04/2018 12:48:31	428.00	79.00
12/04/2018 12:48:33	433.00	67.00
12/04/2018 12:48:35	414.00	57.00
12/04/2018 12:48:38	429.00	70.00
12/04/2018 12:48:40	449.00	77.00
12/04/2018 12:48:43	372.00	82.00
12/04/2018 12:48:45	405.00	84.00
12/04/2018 12:48:47	406.00	82.00
12/04/2018 12:48:49	412.00	71.00
12/04/2018 12:48:51	406.00	88.00
12/04/2018 12:48:53	423.00	74.00
