Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
12/04/2018 14:34:08	5437.00	1100.00
12/04/2018 14:34:10	5221.00	1135.00
12/04/2018 14:34:12	5346.00	1140.00
12/04/2018 14:34:14	5487.00	1132.00
12/04/2018 14:34:16	5293.00	1083.00
12/04/2018 14:34:18	5385.00	1128.00
12/04/2018 14:34:20	5397.00	1143.00
12/04/2018 14:34:22	5389.00	1145.00
12/04/2018 14:34:23	5425.00	1126.00
12/04/2018 14:34:26	5343.00	1162.00
12/04/2018 14:34:27	5311.00	1146.00
12/04/2018 14:34:30	5407.00	1121.00
12/04/2018 14:34:32	5455.00	1124.00
12/04/2018 14:34:33	5368.00	1085.00
12/04/2018 14:34:36	5444.00	1067.00
12/04/2018 14:34:38	5394.00	1202.00
12/04/2018 14:34:40	5208.00	1154.00
12/04/2018 14:34:42	5389.00	1155.00
12/04/2018 14:34:44	5317.00	1159.00
12/04/2018 14:34:45	5269.00	1038.00
12/04/2018 14:34:48	5447.00	1164.00
12/04/2018 14:34:50	5463.00	1087.00
12/04/2018 14:34:51	5417.00	1153.00
12/04/2018 14:34:53	5440.00	1087.00
12/04/2018 14:34:55	5286.00	1071.00
12/04/2018 14:34:57	5391.00	1101.00
12/04/2018 14:34:59	5356.00	1074.00
12/04/2018 14:35:01	5332.00	1146.00
12/04/2018 14:35:02	5381.00	1121.00
12/04/2018 14:35:04	5444.00	1112.00
12/04/2018 14:35:06	5329.00	1102.00
12/04/2018 14:35:08	5410.00	1107.00
12/04/2018 14:35:10	5229.00	1082.00
12/04/2018 14:35:12	5458.00	1114.00
12/04/2018 14:35:14	5382.00	1176.00
12/04/2018 14:35:16	5419.00	1153.00
12/04/2018 14:35:18	5363.00	1093.00
12/04/2018 14:35:20	5366.00	1157.00
12/04/2018 14:35:22	5351.00	1040.00
12/04/2018 14:35:24	5245.00	1064.00
12/04/2018 14:35:26	5464.00	1094.00
12/04/2018 14:35:28	5333.00	1058.00
12/04/2018 14:35:30	5359.00	1089.00
12/04/2018 14:35:32	5499.00	1132.00
12/04/2018 14:35:34	5308.00	1048.00
12/04/2018 14:35:36	5522.00	1082.00
12/04/2018 14:35:38	5541.00	1096.00
12/04/2018 14:35:40	5414.00	1103.00
12/04/2018 14:35:42	5420.00	1097.00
12/04/2018 14:35:44	5480.00	1143.00
12/04/2018 14:35:46	5383.00	1143.00
12/04/2018 14:35:47	5302.00	1130.00
12/04/2018 14:35:49	5312.00	1087.00
12/04/2018 14:35:51	5373.00	1129.00
12/04/2018 14:35:53	5274.00	1156.00
12/04/2018 14:35:55	5393.00	1132.00
12/04/2018 14:35:57	5292.00	1103.00
12/04/2018 14:35:59	5366.00	1160.00
12/04/2018 14:36:02	5368.00	1133.00
12/04/2018 14:36:04	5459.00	1100.00
12/04/2018 14:36:05	5244.00	1071.00
12/04/2018 14:36:08	5422.00	1104.00
12/04/2018 14:36:10	5477.00	1137.00
12/04/2018 14:36:12	5452.00	1122.00
12/04/2018 14:36:13	5437.00	1048.00
12/04/2018 14:36:15	5278.00	1087.00
12/04/2018 14:36:18	5437.00	1078.00
12/04/2018 14:36:20	5499.00	1094.00
12/04/2018 14:36:22	5445.00	1150.00
12/04/2018 14:36:24	5393.00	1096.00
12/04/2018 14:36:27	5548.00	1120.00
12/04/2018 14:36:28	5425.00	1092.00
12/04/2018 14:36:31	5345.00	1111.00
12/04/2018 14:36:33	5348.00	1125.00
12/04/2018 14:36:35	5491.00	1097.00
12/04/2018 14:36:37	5546.00	1143.00
12/04/2018 14:36:39	5298.00	1094.00
12/04/2018 14:36:41	5403.00	1049.00
12/04/2018 14:36:43	5459.00	1127.00
12/04/2018 14:36:45	5420.00	1049.00
12/04/2018 14:36:48	5365.00	1064.00
12/04/2018 14:36:49	5321.00	1122.00
12/04/2018 14:36:52	5414.00	1117.00
12/04/2018 14:36:54	5339.00	1158.00
12/04/2018 14:36:56	5436.00	1143.00
12/04/2018 14:36:58	5368.00	1120.00
12/04/2018 14:37:00	5350.00	1128.00
12/04/2018 14:37:02	5430.00	1126.00
12/04/2018 14:37:03	5419.00	1074.00
12/04/2018 14:37:06	5373.00	1102.00
12/04/2018 14:37:08	5367.00	1132.00
12/04/2018 14:37:09	5379.00	1059.00
12/04/2018 14:37:11	5393.00	1129.00
