Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
12/04/2018 20:36:12	2561.00	46.00
12/04/2018 20:36:14	2605.00	36.00
12/04/2018 20:36:15	2546.00	47.00
12/04/2018 20:36:18	2426.00	35.00
12/04/2018 20:36:19	2364.00	43.00
12/04/2018 20:36:22	2443.00	39.00
12/04/2018 20:36:24	2274.00	43.00
12/04/2018 20:36:26	2351.00	36.00
12/04/2018 20:36:27	2320.00	40.00
12/04/2018 20:36:30	2307.00	43.00
12/04/2018 20:36:32	2231.00	59.00
12/04/2018 20:36:34	2320.00	49.00
12/04/2018 20:36:36	2119.00	47.00
12/04/2018 20:36:38	2301.00	43.00
12/04/2018 20:36:40	2203.00	32.00
12/04/2018 20:36:41	2282.00	38.00
12/04/2018 20:36:44	2177.00	39.00
12/04/2018 20:36:46	2246.00	44.00
12/04/2018 20:36:48	2229.00	45.00
12/04/2018 20:36:49	2298.00	41.00
12/04/2018 20:36:51	2231.00	46.00
12/04/2018 20:36:53	2223.00	33.00
12/04/2018 20:36:56	2168.00	37.00
12/04/2018 20:36:58	2182.00	45.00
12/04/2018 20:37:00	2127.00	37.00
12/04/2018 20:37:02	2179.00	38.00
12/04/2018 20:37:03	2143.00	35.00
12/04/2018 20:37:05	2194.00	45.00
12/04/2018 20:37:07	2219.00	48.00
12/04/2018 20:37:09	2198.00	44.00
12/04/2018 20:37:11	2186.00	42.00
12/04/2018 20:37:13	2184.00	35.00
12/04/2018 20:37:15	2139.00	36.00
12/04/2018 20:37:17	2165.00	40.00
12/04/2018 20:37:19	2046.00	30.00
12/04/2018 20:37:22	2172.00	35.00
12/04/2018 20:37:24	2067.00	27.00
12/04/2018 20:37:25	2108.00	43.00
12/04/2018 20:37:27	2161.00	32.00
12/04/2018 20:37:29	2091.00	45.00
12/04/2018 20:37:31	2070.00	29.00
12/04/2018 20:37:33	2161.00	40.00
12/04/2018 20:37:35	2155.00	30.00
12/04/2018 20:37:37	2140.00	37.00
12/04/2018 20:37:39	2093.00	40.00
12/04/2018 20:37:41	2009.00	50.00
12/04/2018 20:37:43	2073.00	37.00
12/04/2018 20:37:45	2049.00	40.00
12/04/2018 20:37:47	2154.00	41.00
