Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
14/04/2018 00:28:21	2495.00	52.00
14/04/2018 00:28:23	2302.00	39.00
14/04/2018 00:28:25	2223.00	31.00
14/04/2018 00:28:26	2181.00	43.00
14/04/2018 00:28:28	2234.00	35.00
14/04/2018 00:28:30	2150.00	38.00
14/04/2018 00:28:32	2065.00	32.00
14/04/2018 00:28:34	2067.00	36.00
14/04/2018 00:28:36	2095.00	46.00
14/04/2018 00:28:39	2085.00	36.00
14/04/2018 00:28:41	2061.00	30.00
14/04/2018 00:28:43	2058.00	39.00
14/04/2018 00:28:45	2063.00	39.00
14/04/2018 00:28:47	2107.00	38.00
14/04/2018 00:28:49	2034.00	41.00
14/04/2018 00:28:51	2056.00	27.00
14/04/2018 00:28:53	2059.00	37.00
14/04/2018 00:28:54	1940.00	42.00
14/04/2018 00:28:56	1955.00	42.00
14/04/2018 00:28:58	2010.00	24.00
14/04/2018 00:29:00	1962.00	35.00
14/04/2018 00:29:02	1983.00	50.00
14/04/2018 00:29:05	1917.00	32.00
14/04/2018 00:29:07	1962.00	33.00
14/04/2018 00:29:09	1919.00	45.00
14/04/2018 00:29:11	1863.00	31.00
14/04/2018 00:29:12	1931.00	37.00
14/04/2018 00:29:15	2003.00	37.00
14/04/2018 00:29:17	1877.00	44.00
14/04/2018 00:29:18	1853.00	33.00
14/04/2018 00:29:20	1935.00	34.00
14/04/2018 00:29:22	1925.00	27.00
14/04/2018 00:29:24	1924.00	48.00
14/04/2018 00:29:25	1914.00	46.00
14/04/2018 00:29:27	1844.00	33.00
14/04/2018 00:29:30	1918.00	32.00
14/04/2018 00:29:32	1824.00	31.00
14/04/2018 00:29:34	1902.00	31.00
14/04/2018 00:29:35	1892.00	37.00
14/04/2018 00:29:38	1840.00	33.00
14/04/2018 00:29:39	1877.00	24.00
14/04/2018 00:29:41	1829.00	45.00
14/04/2018 00:29:43	1868.00	39.00
14/04/2018 00:29:45	1787.00	46.00
14/04/2018 00:29:47	1792.00	24.00
14/04/2018 00:29:49	1885.00	29.00
14/04/2018 00:29:51	1789.00	39.00
14/04/2018 00:29:53	1867.00	38.00
14/04/2018 00:29:56	1869.00	40.00
14/04/2018 00:29:58	1846.00	37.00
14/04/2018 00:29:59	1830.00	40.00
14/04/2018 00:30:01	1889.00	40.00
14/04/2018 00:30:03	1838.00	34.00
14/04/2018 00:30:05	1792.00	43.00
14/04/2018 00:30:07	1779.00	51.00
14/04/2018 00:30:09	1803.00	26.00
14/04/2018 00:30:11	1738.00	48.00
14/04/2018 00:30:13	1888.00	31.00
14/04/2018 00:30:15	1755.00	39.00
14/04/2018 00:30:17	1773.00	39.00
14/04/2018 00:30:18	1796.00	36.00
14/04/2018 00:30:21	1758.00	37.00
14/04/2018 00:30:22	1723.00	44.00
14/04/2018 00:30:25	1797.00	30.00
14/04/2018 00:30:27	1888.00	38.00
14/04/2018 00:30:28	1746.00	37.00
14/04/2018 00:30:30	1754.00	42.00
14/04/2018 00:30:32	1693.00	43.00
14/04/2018 00:30:34	1714.00	39.00
14/04/2018 00:30:36	1749.00	34.00
14/04/2018 00:30:38	1733.00	33.00
14/04/2018 00:30:40	1755.00	44.00
14/04/2018 00:30:42	1733.00	34.00
14/04/2018 00:30:43	1776.00	41.00
14/04/2018 00:30:46	1763.00	25.00
14/04/2018 00:30:48	1753.00	37.00
14/04/2018 00:30:50	1782.00	26.00
14/04/2018 00:30:51	1793.00	41.00
14/04/2018 00:30:53	1694.00	43.00
14/04/2018 00:30:56	1791.00	28.00
14/04/2018 00:30:58	1781.00	40.00
14/04/2018 00:31:00	1726.00	23.00
14/04/2018 00:31:01	1699.00	42.00
14/04/2018 00:31:03	1715.00	31.00
14/04/2018 00:31:05	1714.00	48.00
14/04/2018 00:31:07	1730.00	33.00
14/04/2018 00:31:09	1656.00	31.00
14/04/2018 00:31:11	1739.00	35.00
14/04/2018 00:31:13	1660.00	34.00
14/04/2018 00:31:15	1666.00	36.00
14/04/2018 00:31:16	1688.00	37.00
14/04/2018 00:31:19	1668.00	29.00
14/04/2018 00:31:21	1676.00	36.00
14/04/2018 00:31:22	1719.00	35.00
14/04/2018 00:31:24	1643.00	38.00
14/04/2018 00:31:26	1694.00	31.00
14/04/2018 00:31:28	1703.00	43.00
14/04/2018 00:31:30	1700.00	40.00
14/04/2018 00:31:32	1767.00	31.00
